"Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year-additional"
"2005,23,STL,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1H,,-9999"
"2006,24,STL,NL,58,6,6,2,3,1,0,1,1,0,0,0,0,.500,.500,1.167,1.667,311,7,0,0,0,0,0,1,,-9999"
"2007,25,STL,NL,36,74,62,4,18,3,0,1,6,0,1,3,18,.290,.323,.387,.710,84,24,1,0,9,0,0,1/H,,-9999"
"2008,26,STL,NL,25,65,60,5,16,2,0,1,6,0,1,2,20,.267,.286,.350,.636,68,21,0,0,2,1,0,1/H,,-9999"
"2009,27,STL,NL,39,96,89,7,16,5,1,2,4,0,0,1,26,.180,.189,.326,.515,34,29,0,0,6,0,0,1/H,CYA-3MVP-15GG,-9999"
"2010,28,STL,NL,36,96,84,4,14,5,0,0,6,0,0,7,23,.167,.231,.226,.457,26,19,2,0,5,0,0,1/H,ASCYA-2MVP-17,-9999"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999"
"2012,30,STL,NL,32,72,66,5,8,2,0,1,4,0,0,3,32,.121,.159,.197,.356,-3,13,1,0,3,0,0,1/H,,-9999"
"2013,31,STL,NL,32,81,71,4,15,4,0,0,6,0,0,0,23,.211,.208,.268,.476,31,19,2,0,9,1,0,1/H,ASCYA-2MVP-20GG,-9999"
"2014,32,STL,NL,30,82,72,4,13,3,0,0,6,0,0,3,22,.181,.213,.222,.436,23,16,0,0,7,0,0,1,ASCYA-3MVP-8,-9999"
"2015,33,STL,NL,7,10,10,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1,,-9999"
"2016,34,STL,NL,32,69,62,6,13,7,1,2,18,0,0,2,17,.210,.234,.452,.686,79,28,1,0,5,0,0,1/H,,-9999"
"2017,35,STL,NL,24,50,42,7,11,2,0,2,11,0,0,1,15,.262,.279,.452,.731,89,19,2,0,7,0,0,1/H,SS,-9999"
"2018,36,STL,NL,8,12,11,0,1,0,0,0,1,0,0,0,6,.091,.091,.091,.182,-50,1,0,0,1,0,0,/1,,-9999"
"2019,37,STL,NL,29,59,50,6,8,3,0,0,2,0,0,2,20,.160,.189,.220,.409,8,11,0,0,6,1,0,1,,-9999"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999"
"2021,39,STL,NL,33,74,57,1,7,2,0,0,4,0,0,3,25,.123,.167,.158,.325,-9,9,2,0,14,0,0,1/H,CYA-7MVP-20,-9999"
"17 Yrs,,,,424,846,742,55,143,39,2,10,75,0,2,27,249,.193,.220,.291,.511,37,216,11,0,74,3,0,,,-9999"
"162 Game Avg.,,,,162,323,284,21,55,15,1,4,29,0,1,10,95,.193,.220,.291,.511,37,83,4,0,28,1,0,,,bat_glossary.shtml#162_avg"
