Year,Age,Tm,Lg,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Awards
2005,24,PIT,NL,1.1,1,0,2,13.5,5.2,0.09,-0.4,98,4.62,-1,-0.1,3.4,-0.1,-0.3,-1,0.379,0.499,,
,,,,,,,,,,,,,,,,,,,,,,,
2007,26,PIT,NL,17,5,3,11,5.82,4.6,-0.13,0.06,97.9,4.69,-2,-0.2,0.04,0,0,-1,0.461,0.499,,
2008,27,CLE,AL,14.2,3,2,9,5.52,4.74,0.15,0.18,104.4,4.98,-1,-0.1,0.5,0,0,1,0.463,0.499,,
2009,28,TOR,AL,6,4,0,2,3,4.45,0.42,-0.33,102.6,3.81,1,0.1,0.23,0,0.1,1,0.513,0.5,,
2010,29,KCR,AL,42.2,13,5,29,6.12,4.54,-0.66,-0.01,98.2,5.1,-5,-0.5,0.62,0,-0.1,0,0.46,0.497,,
5 Seasons,,,,81.2,26,10,53,5.84,4.59,-0.32,0.01,99.6,4.89,-9,-0.9,0.62,-0.2,-0.3,0,0.466,0.498,,
162 Game Avg.,,,,154,49,19,100,5.84,4.59,-0.32,0.01,99.6,4.89,-17,-1.7,0.62,-0.4,-0.6,0,0.466,0.498,,
,,,,,,,,,,,,,,,,,,,,,,,
PIT (2 yrs),,,,18.1,6,3,13,6.38,4.64,-0.12,0.03,97.9,4.69,-3,-0.3,1.16,-0.1,-0.3,-2,0.447,0.499,,
KCR (1 yr),,,,42.2,13,5,29,6.12,4.54,-0.66,-0.01,98.2,5.1,-5,-0.5,0.62,0,-0.1,0,0.46,0.497,,
CLE (1 yr),,,,14.2,3,2,9,5.52,4.74,0.15,0.18,104.4,4.98,-1,-0.1,0.5,0,0,1,0.463,0.499,,
TOR (1 yr),,,,6,4,0,2,3,4.45,0.42,-0.33,102.6,3.81,1,0.1,0.23,0,0.1,1,0.513,0.5,,
