Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2012,19,WSN,NL,139,597,15,2,2,14,-1,32,3.4,18,50,5.2,0.524,0.521,3.5,1.5,36,"$500,000 ",*89/7H,"AS,MVP-30,RoY-1"
2013,20,WSN,NL,118,497,17,1,2,4,-4,20,2.1,16,36,3.7,0.519,0.514,3.3,-0.1,32,"$2,000,000 ",*79/8H,AS
2014,21,WSN,NL,100,395,6,-1,0,-1,-4,-1,-0.2,13,12,1,0.499,0.499,1.2,-0.6,13,"$2,150,000 ",79/8H,
2015,22,WSN,NL,153,654,71,3,-1,6,-5,74,7.7,21,95,9.7,0.551,0.548,9.1,0.1,89,"$2,500,000 ",*98/D,"AS,MVP-1,SS"
2016,23,WSN,NL,147,627,7,-2,0,-3,-5,-3,-0.4,20,17,1.5,0.498,0.498,1.9,-0.9,20,"$5,000,000 ",*9/H,AS
2017,24,WSN,NL,111,492,33,1,-2,6,-4,35,3.4,15,50,4.8,0.531,0.521,4.2,0.2,44,"$13,625,000 ",*9/H,"AS,MVP-12"
2018,25,WSN,NL,159,695,25,-1,0,-21,-3,0,-0.3,22,21,1.8,0.5,0.5,4.2,-2.7,42,"$21,625,000 ",*98/H3D,AS
2019,26,PHI,NL,157,682,20,1,0,11,-6,26,2.3,21,48,4.4,0.517,0.516,3.5,0.4,37,"$11,538,462 ",*9/HD,
2020,27,PHI,NL,58,244,16,-1,0,-1,-2,12,1.2,8,20,2,0.519,0.507,2,-0.3,21,"$27,538,461 ",*9D/8,
2021,28,PHI,NL,141,599,53,-1,-1,-6,-5,40,3.8,20,60,5.9,0.528,0.525,6.5,-1.3,66,"$27,538,462 ",*9/D3,"MVP-1,SS"
2022,29,PHI,NL,64,275,22,1,-1,-1,-5,17,1.8,9,26,2.6,0.527,0.511,2.7,-0.6,27,"$27,538,461 ",*D/9H,
11 Seasons,,,,1347,5757,286,4,-1,8,-45,252,24.7,184,435,42.7,0.519,0.516,42.1,-4.4,428,"$141,553,846 ",,
162 Game Avg.,,,,162,692,34,0,0,1,-5,30,3,22,52,5.1,0.519,0.516,5.1,-0.5,51,,,
,,,,,,,,,,,,,,,,,,,,,,,
WSN (7 yrs),,,,927,3957,174,4,0,5,-26,157,15.6,125,281,27.8,0.518,0.515,27.4,-2.7,277,"$47,400,000 ",,
PHI (4 yrs),,,,420,1800,112,0,-2,3,-18,95,9.1,59,154,14.9,0.522,0.517,14.8,-1.8,151,"$94,153,846 ",,
