Year,Age,Tm,Lg,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,RA9extras,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Awards
2008,22,TBR,AL,14,5,1,4,2.57,4.87,0.13,0.06,,103.2,4.95,3,0.4,0.84,0,0.5,5,0.573,0.502,"$650,000 ",
2009,23,TBR,AL,128.1,23,23,72,5.05,5,0.29,0.19,,99.3,4.87,-3,-0.3,,-0.1,0.9,12,0.486,0.498,"$750,000 ",
2010,24,TBR,AL,208.2,32,31,71,3.06,4.57,0.31,0.16,,93.8,4.15,24,2.6,0.75,-0.1,4.7,47,0.583,0.516,"$1,834,671 ","AS,CYA-2"
2011,25,TBR,AL,224.1,34,34,93,3.73,4.64,0.32,0.17,,93.7,4.21,11,1.2,,-0.1,3.3,35,0.535,0.507,"$2,084,671 ",AS
2012,26,TBR,AL,211,31,31,63,2.69,4.54,0.19,0.17,,97.4,4.4,40,4.6,,-0.2,6.6,62,0.65,0.529,"$4,350,000 ","AS,CYA-1,MVP-12"
2013,27,TBR,AL,186.2,27,27,78,3.76,4.38,0.17,0.17,,99.1,4.34,9,1,,-0.1,2.6,30,0.535,0.506,"$10,112,500 ",
2014,28,TBR,AL,170.2,23,23,68,3.59,4.17,-0.08,0.16,,96.1,4.25,10,1.2,,-0.1,2.7,28,0.552,0.507,"$14,000,000 ","AS,CYA-6"
2014,28,DET,AL,77.2,11,11,32,3.71,4.22,-0.35,0.16,,101.2,4.79,8,1,,-0.1,1.7,16,0.589,0.506,,"AS,CYA-6"
2015,29,DET,AL,146,21,21,50,3.08,4.29,-0.04,0.17,,99.4,4.47,20,2.4,,-0.1,3.7,36,0.612,0.515,"$19,750,000 ","AS,CYA-2,MVP-9"
2015,29,TOR,AL,74.1,11,11,20,2.42,4.35,0.1,0.17,,101.7,4.49,16,1.9,,0,2.6,24,0.673,0.512,,"AS,CYA-2,MVP-9"
2016,30,BOS,AL,230,35,35,106,4.15,4.47,0.43,0.18,,105.2,4.43,7,0.8,,-0.1,2.9,30,0.522,0.505,"$30,000,000 ",
2017,31,BOS,AL,74.2,16,11,30,3.62,4.91,0.51,0.15,,102.6,4.66,8,0.9,1.1,-0.1,1.6,16,0.555,0.505,"$30,000,000 ",
2018,32,BOS,AL,176,30,30,75,3.84,4.58,0.08,0.2,,102.5,4.82,19,2.1,,-0.1,3.7,37,0.569,0.513,"$30,000,000 ",
2019,33,BOS,AL,107.1,22,22,57,4.78,4.97,0.02,0.24,,101.3,5.26,6,0.6,,-0.1,1.6,17,0.526,0.504,"$31,000,000 ",
,,,,,,,,,,,,,,,,,,,,,,,,
2021,35,LAD,NL,73.2,39,11,35,4.28,4.52,0.31,-0.01,0.15,97,4.21,0,0,0.57,-0.1,0.6,7,0.499,0.5,"$32,000,000 ",
2022,36,LAD,NL,18.2,18,0,7,3.38,4.48,0.4,-0.3,0,102.9,3.9,1,0.1,0.67,-0.1,0.2,3,0.504,0.5,"$32,000,000 ",
14 Seasons,,,,2122,378,322,861,3.65,4.53,0.19,0.16,0.01,99,4.47,180,20.3,0.67,-1.6,39.7,404,0.554,0.508,"$238,531,842 ",
162 Game Avg.,,,,206,37,31,84,3.65,4.53,0.19,0.16,0.01,99,4.47,17,2,0.67,-0.2,3.9,39,0.554,0.508,,
,,,,,,,,,,,,,,,,,,,,,,,,
TBR (7 yrs),,,,1143.2,175,170,449,3.53,4.54,0.2,0.17,,96.4,4.34,94,10.7,0.82,-0.8,21.3,218,0.561,0.511,"$33,781,842 ",
BOS (4 yrs),,,,588,103,98,268,4.1,4.65,0.26,0.19,,103.3,4.73,41,4.3,1.1,-0.4,9.7,101,0.542,0.507,"$121,000,000 ",
LAD (2 yrs),,,,92.1,57,11,42,4.09,4.51,0.33,-0.07,0.12,98.2,4.15,0,0,0.61,-0.2,0.7,9,0.501,0.5,"$64,000,000 ",
DET (2 yrs),,,,223.2,32,32,82,3.3,4.26,-0.15,0.16,,100,4.58,29,3.3,,-0.1,5.4,53,0.604,0.512,"$19,750,000 ",
TOR (1 yr),,,,74.1,11,11,20,2.42,4.35,0.1,0.17,,101.7,4.49,16,1.9,,0,2.6,24,0.673,0.512,,
