Year,Rnd,DT,OvPck,FrRnd,RdPck,Tm,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G,W,L,ERA,WHIP,SV,Type,Drafted Out of
2007,1,,1,FrRnd,1,Devil Rays,Y,"$5,600,000 ",David Price (minors),LHP,39.6,58,65,0,0.123,0.298,379,155,82,3.33,1.16,1,4Yr,"Vanderbilt University (Nashville, TN)"
2007,1,,2,FrRnd,2,Royals,Y,"$4,000,000 ",Mike Moustakas (minors),SS,13.2,1291,4633,199,0.248,0.744,,,,,,,HS,"Chatsworth Charter HS (Chatsworth, CA)"
2007,1,,3,FrRnd,3,Cubs,Y,"$3,200,000 ",Josh Vitters (minors),3B,-1.3,36,99,2,0.121,0.395,,,,,,,HS,"Cypress HS (Cypress, CA)"
2007,1,,4,FrRnd,4,Pirates,Y,"$2,475,000 ",Daniel Moskos (minors),LHP,0.2,30,0,0,,,31,1,1,2.96,1.56,0,4Yr,"Clemson University (Clemson, SC)"
2007,1,,5,FrRnd,5,Orioles,Y,"$6,000,000 ",Matt Wieters (minors),C,18.3,1167,3994,146,0.249,0.722,,,,,,,4Yr,"Georgia Institute of Technology (Atlanta, GA)"
2007,1,,6,FrRnd,6,Nationals,Y,"$2,150,000 ",Ross Detwiler (minors),LHP,0.4,203,121,0,0.066,0.155,293,30,51,4.56,1.46,1,4Yr,"Missouri State University (Springfield, MO)"
2007,1,,7,FrRnd,7,Brewers,Y,"$2,000,000 ",Matt LaPorta (minors),1B,-1,291,967,31,0.238,0.695,,,,,,,4Yr,"University of Florida (Gainesville, FL)"
2007,1,,8,FrRnd,8,Rockies,Y,"$1,800,000 ",Casey Weathers (minors),RHP,,,,,,,,,,,,,4Yr,"Vanderbilt University (Nashville, TN)"
2007,1,,9,FrRnd,9,Diamondbacks,Y,"$2,100,000 ",Jarrod Parker (minors),RHP,6.5,4,8,0,0.125,0.375,62,25,16,3.68,1.24,0,HS,"Norwell HS (Ossian, IN)"
2007,1,,10,FrRnd,10,Giants,Y,"$2,000,000 ",Madison Bumgarner (minors),LHP,39.7,313,633,19,0.172,0.525,341,131,114,3.33,1.13,0,HS,"South Caldwell HS (Hudson, NC)"
