Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
2013,22,PIT,NL,10,7,0.588,3.22,19,19,0,0,0,0,117.1,109,43,42,7,28,0,100,3,0,4,469,111,2.91,1.168,8.4,0.5,2.1,7.7,3.57,
2014,23,PIT,NL,11,5,0.688,3.65,22,22,0,0,0,0,138,127,58,56,11,40,1,138,9,1,9,571,99,3.23,1.21,8.3,0.7,2.6,9,3.45,
2015,24,PIT,NL,19,8,0.704,2.6,32,32,0,0,0,0,208,183,71,60,11,44,1,202,10,0,7,832,149,2.66,1.091,7.9,0.5,1.9,8.7,4.59,"AS,CYA-4,MVP-19"
2016,25,PIT,NL,7,10,0.412,3.88,21,21,0,1,0,0,116,131,57,50,7,36,3,98,6,1,5,506,107,3.33,1.44,10.2,0.5,2.8,7.6,2.72,
2017,26,PIT,NL,12,12,0.5,4.26,33,33,0,0,0,0,203,199,98,96,31,55,1,196,4,0,7,849,100,4.08,1.251,8.8,1.4,2.4,8.7,3.56,
2018,27,HOU,AL,15,5,0.75,2.88,32,32,0,1,1,0,200.1,143,68,64,19,64,0,276,7,0,9,799,144,2.7,1.033,6.4,0.9,2.9,12.4,4.31,"AS,CYA-5"
2019,28,HOU,AL,20,5,0.8,2.5,33,33,0,0,0,0,212.1,142,66,59,29,48,0,326,3,3,4,817,185,2.64,0.895,6,1.2,2,13.8,6.79,"AS,CYA-2,MVP-10"
2020,29,NYY,AL,7,3,0.7,2.84,12,12,0,2,1,0,73,53,27,23,14,17,0,94,2,0,2,288,151,3.89,0.959,6.5,1.7,2.1,11.6,5.53,CYA-4
2021,30,NYY,AL,16,8,0.667,3.23,30,30,0,2,1,0,181.1,151,69,65,24,41,0,243,2,1,5,726,132,2.92,1.059,7.5,1.2,2,12.1,5.93,"AS,CYA-2,MVP-15"
2022,31,NYY,AL,6,2,0.75,2.99,15,15,0,0,0,0,87.1,65,29,29,12,23,0,111,1,1,2,349,127,3.2,1.008,6.7,1.2,2.4,11.4,4.83,
10 Yrs,,,,123,65,0.654,3.19,249,249,0,6,3,0,1536.2,1303,586,544,165,396,6,1784,47,7,54,6206,129,3.09,1.106,7.6,1,2.3,10.4,4.51,
162 Game Avg.,,,,17,9,0.654,3.19,34,34,0,1,0,0,210,178,80,74,23,54,1,244,6,1,7,847,129,3.09,1.106,7.6,1,2.3,10.4,4.51,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIT (5 yrs),,,,59,42,0.584,3.5,127,127,0,1,0,0,782.1,749,327,304,67,203,6,734,32,2,32,3227,112,3.27,1.217,8.6,0.8,2.3,8.4,3.62,
NYY (3 yrs),,,,29,13,0.69,3.08,57,57,0,4,2,0,341.2,269,125,117,50,81,0,448,5,2,9,1363,134,3.2,1.024,7.1,1.3,2.1,11.8,5.53,
HOU (2 yrs),,,,35,10,0.778,2.68,65,65,0,1,1,0,412.2,285,134,123,48,112,0,602,10,3,13,1616,164,2.67,0.962,6.2,1,2.4,13.1,5.38,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
