Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2004,21,MIN,AL,35,122,7,1,0,1,2,10,1,5,15,1.4,0.528,0.506,1.3,0.3,14,"$300,000 ",2/HD,
2005,22,MIN,AL,131,554,2,1,1,-3,7,8,0.8,21,29,2.8,0.506,0.505,3.2,0.4,32,"$325,000 ",*2D/H,
2006,23,MIN,AL,140,608,34,2,-1,-4,7,38,3.7,22,60,5.8,0.526,0.522,6.2,0.3,64,"$400,000 ",*2D/H,"AS,MVP-6,SS"
2007,24,MIN,AL,109,471,11,3,1,3,4,22,2.2,17,40,3.9,0.52,0.513,3.6,0.8,37,"$3,750,000 ",2D/H,
2008,25,MIN,AL,146,633,28,2,0,-7,9,32,3.4,23,56,5.6,0.522,0.52,6.2,0.3,62,"$6,250,000 ",*2/HD,"AS,MVP-4,GG,SS"
2009,26,MIN,AL,138,606,53,-1,1,2,5,59,5.8,22,81,7.8,0.541,0.535,7.7,0.7,79,"$10,500,000 ",*2D/H,"AS,MVP-1,GG,SS"
2010,27,MIN,AL,137,584,26,1,0,3,5,35,3.8,22,57,5.9,0.527,0.522,5.5,1,54,"$12,500,000 ",*2D/H,"AS,MVP-8,GG,SS"
2011,28,MIN,AL,82,333,1,0,-1,1,1,3,0.3,12,15,1.5,0.503,0.502,1.4,0.2,14,"$23,000,000 ",23D/H9,
2012,29,MIN,AL,147,641,31,-1,-3,-6,0,21,2.1,23,45,4.4,0.515,0.513,5.2,-0.7,50,"$23,000,000 ",2D3/H,"AS,MVP-19"
2013,30,MIN,AL,113,508,25,-1,1,8,2,35,3.9,17,52,5.5,0.533,0.523,4.6,1.3,44,"$23,000,000 ",2D/3H,"AS,SS"
2014,31,MIN,AL,120,518,1,2,0,1,-7,-3,-0.1,18,16,1.7,0.498,0.498,1.5,-0.6,15,"$23,000,000 ",3D/H,
2015,32,MIN,AL,158,666,2,2,-2,-4,-9,-11,-1,24,13,1.3,0.492,0.493,1.7,-1.3,17,"$23,000,000 ",*3D/H,
2016,33,MIN,AL,134,576,3,-1,1,7,-8,1,0.3,20,22,2.2,0.501,0.501,1.5,-0.1,15,"$23,000,000 ",3D/H,
2017,34,MIN,AL,141,597,16,-2,-1,13,-8,18,1.9,21,39,3.9,0.513,0.511,2.6,0.6,26,"$23,000,000 ",*3D/H,
2018,35,MIN,AL,127,543,-1,0,-1,4,-8,-7,-0.5,19,13,1.4,0.495,0.496,0.9,-0.2,9,"$23,000,000 ",3DH/29,
15 Seasons,,,,1858,7960,239,8,-5,19,0,262,27.5,288,550,55.2,0.514,0.511,53,3,531,"$218,025,000 ",,
162 Game Avg.,,,,162,694,21,1,0,2,0,23,2.4,25,48,4.8,0.514,0.511,4.6,0.3,46,,,
