Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
2013,23,TBR,AL,5,8,7,1,3,0,0,0,1,0,0,0,0,0.429,0.375,0.429,0.804,125,3,0,0,0,1,0,/H46,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,25,TBR,AL,82,223,203,24,45,7,4,9,37,3,1,13,69,0.222,0.274,0.429,0.702,93,87,3,3,0,4,0,46HD/5,
2016,26,TBR,AL,64,215,198,25,49,12,5,5,16,2,1,14,67,0.247,0.3,0.434,0.735,100,86,3,1,2,0,0,64H/53D,
2017,27,TOT,AL,137,575,533,67,148,18,5,22,62,6,5,36,167,0.278,0.328,0.454,0.782,110,242,10,4,1,1,0,*64/5DH,
2017,27,TBR,AL,87,345,317,31,82,5,3,12,36,5,4,24,110,0.259,0.314,0.407,0.721,95,129,8,2,1,1,0,64/5H,
2017,27,BAL,AL,50,230,216,36,66,13,2,10,26,1,1,12,57,0.306,0.348,0.523,0.871,132,113,2,2,0,0,0,6/D,
2018,28,BAL,AL,96,402,369,45,85,17,0,12,35,1,2,27,100,0.23,0.287,0.374,0.661,81,138,10,3,1,2,0,65/D4,
2019,29,SEA,AL,88,328,304,39,72,21,1,15,47,1,3,21,102,0.237,0.293,0.461,0.753,100,140,7,3,0,0,0,675D/43H,
6 Yrs,,,,472,1751,1614,201,402,75,15,63,198,13,12,111,505,0.249,0.302,0.431,0.733,98,696,33,14,4,8,0,,
162 Game Avg.,,,,162,601,554,69,138,26,5,22,68,4,4,38,173,0.249,0.302,0.431,0.733,98,239,11,5,1,3,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TBR (4 yrs),,,,238,791,725,81,179,24,12,26,90,10,6,51,246,0.247,0.299,0.421,0.72,96,305,14,6,3,6,0,,
BAL (2 yrs),,,,146,632,585,81,151,30,2,22,61,2,3,39,157,0.258,0.309,0.429,0.738,100,251,12,5,1,2,0,,
SEA (1 yr),,,,88,328,304,39,72,21,1,15,47,1,3,21,102,0.237,0.293,0.461,0.753,100,140,7,3,0,0,0,,
