Year,Rnd,RdPck,Tm,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,Type,Drafted Out of,Team Made Playoffs
2000,1,1,Marlins,Y,3000000.0,Adrian Gonzalez,1B,43.5,1929.0,7139.0,317.0,0.287,0.843,HS,"Eastlake HS (Chula Vista, CA)",0
2000,1,3,Cubs,Y,2750000.0,Luis Montanez,SS,-1.3,129.0,305.0,5.0,0.223,0.586,HS,"Coral Park HS (Miami, FL)",0
2000,1,6,Devil Rays,Y,2250000.0,Rocco Baldelli,OF,10.2,519.0,1910.0,60.0,0.278,0.766,HS,"Bishop Hendricken HS (Warwick, RI)",0
2000,1,11,Brewers,Y,1950000.0,Dave Krynzel,OF,0.2,21.0,48.0,0.0,0.188,0.486,HS,"Green Valley HS (Henderson, NV)",0
2000,1,12,White Sox,Y,5300000.0,Joe Borchard,OF,-1.5,301.0,716.0,26.0,0.205,0.636,4Yr,"Stanford University (Palo Alto, CA)",1
2000,1,13,Cardinals,Y,1750000.0,Shaun Boyd,OF,0.0,0.0,0.0,0.0,0.0,0.0,HS,"Vista HS (Vista, CA)",1
2000,1,15,Phillies,Y,1780000.0,Chase Utley,2B,64.5,1937.0,6857.0,259.0,0.275,0.823,4Yr,"University of California, Los Angeles (Los Angeles, CA)",0
2000,1,18,Blue Jays,Y,950000.0,Miguel Negron,OF,0.0,0.0,0.0,0.0,0.0,0.0,HS,"Manuela Toro HS (Caguas, Puerto Rico)",0
2000,1,23,Reds,Y,0.0,David Espinosa,SS,0.0,0.0,0.0,0.0,0.0,0.0,HS,"Gulliver Prep HS (Coral Gables, FL)",0
2000,1,25,Rangers ,Y,1475000.0,Scott Heard,C,0.0,0.0,0.0,0.0,0.0,0.0,HS,"Rancho Bernardo HS (San Diego, CA)",0
2000,1,26,Indians,Y,1375000.0,Corey Smith,SS,0.0,0.0,0.0,0.0,0.0,0.0,HS,"Piscataway HS (Piscataway, NJ)",0
2000,1,28,Yankees,Y,1425000.0,Dave Parrish,C,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"University of Michigan (Ann Arbor, MI)",1
2000,1,30,Braves,Y,1225000.0,Scott Thorman,3B,-1.0,175.0,415.0,16.0,0.222,0.667,HS,"Preston HS (Cambridge, ON)",1
2000,1,35,Rangers,N,0.0,Tyrell Godwin,OF,0.0,3.0,3.0,0.0,0.0,0.0,4Yr,"University of North Carolina at Chapel Hill (Chapel Hill, NC)",0
2000,1,38,Braves,Y,790000.0,Kelly Johnson,SS,16.6,1399.0,4543.0,155.0,0.251,0.751,HS,"Westwood HS (Austin, TX)",1
2000,1,40,Braves,Y,850000.0,Aaron Herr,SS,0.0,0.0,0.0,0.0,0.0,0.0,HS,"Hempfield HS (Landisville, PA)",1
2001,1,1,Twins,Y,5150000.0,Joe Mauer,C,55.2,1858.0,6930.0,143.0,0.306,0.827,HS,"Cretin HS (St. Paul, MN)",0
2001,1,5,Rangers,Y,4500000.0,Mark Teixeira,3B,50.6,1862.0,6936.0,409.0,0.269,0.87,4Yr,"Georgia Institute of Technology (Atlanta, GA)",0
2001,1,10,Astros,Y,2125000.0,Chris Burke,2B,-1.2,477.0,1267.0,23.0,0.239,0.674,4Yr,"University of Tennessee (Knoxville, TN)",1
2001,1,13,Angels,Y,2075000.0,Casey Kotchman,1B,7.5,939.0,3071.0,71.0,0.26,0.711,HS,"Seminole HS (Seminole, FL)",0
