Year,Rnd,RdPck,Tm,Signed,Bonus,Name,Pos,WAR,G,W,L,ERA,WHIP,SV,Type,Drafted Out of,Team Made Playoffs
2000,1,2,Twins,Y,2500000.0,Adam Johnson,RHP,-1.1,9.0,1.0,3.0,10.25,2.05,0.0,4Yr,"California State University, Fullerton (Fullerton, CA)",0
2000,1,4,Royals,Y,2500000.0,Mike Stodolka,LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"Centennial HS (Corona, CA)",0
2000,1,5,Expos,Y,2950000.0,Justin Wayne,RHP,-1.5,26.0,5.0,8.0,6.13,1.65,0.0,4Yr,"Stanford University (Palo Alto, CA)",0
2000,1,7,Rockies,N,0.0,Matt Harrington,RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"Palmdale HS (Palmdale, CA)",0
2000,1,8,Tigers,Y,2150000.0,Matt Wheatland,RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"Rancho Bernardo HS (San Diego, CA)",0
2000,1,9,Padres,Y,2200000.0,Mark Phillips,LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"Hanover HS (Hanover, PA)",0
2000,1,10,Angels,Y,2080000.0,Joe Torres,LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"Gateway HS (Kissimmee, FL)",0
2000,1,14,Orioles,Y,2250000.0,Beau Hale,RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"University of Texas at Austin (Austin, TX)",0
2000,1,16,Mets ,Y,400000.0,Billy Traber,LHP,-0.7,96.0,12.0,14.0,5.65,1.59,0.0,4Yr,"Loyola Marymount University (Los Angeles, CA)",1
2000,1,17,Dodgers,Y,2200000.0,Ben Diggins,RHP,-0.7,5.0,0.0,4.0,8.63,1.92,0.0,4Yr,"University of Arizona (Tucson, AZ)",0
2000,1,19,Pirates,Y,1650000.0,Sean Burnett,LHP,5.9,380.0,15.0,23.0,3.52,1.34,10.0,HS,"Wellington Community HS (Wellington, FL)",0
2000,1,20,Angels ,Y,1800000.0,Chris Bootcheck,RHP,-1.6,91.0,3.0,7.0,6.55,1.66,1.0,4Yr,"Auburn University (Auburn, AL)",0
2000,1,21,Giants,Y,1245000.0,Boof Bonser,RHP,-0.5,111.0,19.0,25.0,5.18,1.46,0.0,HS,"Gibbs HS (St. Petersburg, FL)",1
2000,1,22,Red Sox,Y,1275000.0,Phil Dumatrait,LHP,-1.8,87.0,4.0,13.0,6.2,1.78,1.0,JC,"Bakersfield College (Bakersfield, CA)",0
2000,1,24,Cardinals ,Y,1375000.0,Blake Williams,RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"Texas State University (San Marcos, TX)",0
2000,1,27,Astros,Y,1250000.0,Rob Stiehl,RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JC,"El Camino College (Torrance, CA)",0
