Year,Rnd,DT,OvPck,FrRnd,RdPck,Tm,franchise_id,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of
2000,1,,10,FrRnd,10,Angels,ANA,Y,"$2,080,000 ",Joe Torres(minors),LHP,,,,,,,,,,,,,HS,"Gateway HS (Kissimmee, FL)"
2000,1,,20,FrRnd,20,Angels via Athletics,ANA,Y,"$1,800,000 ",*Chris Bootcheck(minors),RHP,-1.6,15,2,0,0,0,91,3,7,6.55,1.66,1,4Yr,"Auburn University (Auburn, AL)"
2000,1,,27,FrRnd,27,Astros,HOU,Y,"$1,250,000 ",Rob Stiehl(minors),RHP,,,,,,,,,,,,,JC,"El Camino College (Torrance, CA)"
2000,1,,18,FrRnd,18,Blue Jays,TOR,Y,"$950,000 ",Miguel Negron(minors),OF,,,,,,,,,,,,,HS,"Manuela Toro HS (Caguas, Puerto Rico)"
2000,1s,,33,FrRnd,33,Blue Jays,TOR,Y,"$950,000 ",*Dustin McGowan(minors),RHP,1.6,135,27,0,0.074,0.148,290,35,34,4.5,1.38,2,HS,"Long County HS (Ludowici, GA)"
2000,1,,30,FrRnd,30,Braves,ATL,Y,"$1,225,000 ",Scott Thorman(minors),3B,-1,175,415,16,0.222,0.667,,,,,,,HS,"Preston HS (Cambridge, ON)"
2000,1s,,38,FrRnd,38,Braves,ATL,Y,"$790,000 ",*Kelly Johnson(minors),SS,16.6,1399,4543,155,0.251,0.751,,,,,,,HS,"Westwood HS (Austin, TX)"
2000,1s,,40,FrRnd,40,Braves,ATL,Y,"$850,000 ",*Aaron Herr(minors),SS,,,,,,,,,,,,,HS,"Hempfield HS (Landisville, PA)"
2000,1,,29,FrRnd,29,Braves via Diamondbacks,ATL,Y,"$1,250,000 ",*Adam Wainwright(minors),RHP,46.6,424,742,10,0.193,0.511,440,190,110,3.34,1.21,3,HS,"Glynn Academy HS (Brunswick, GA)"
2000,1,,11,FrRnd,11,Brewers,MIL,Y,"$1,950,000 ",Dave Krynzel(minors),OF,0.2,21,48,0,0.188,0.486,,,,,,,HS,"Green Valley HS (Henderson, NV)"
2000,1,,13,FrRnd,13,Cardinals,STL,Y,"$1,750,000 ",Shaun Boyd(minors),OF,,,,,,,,,,,,,HS,"Vista HS (Vista, CA)"
2000,1,,24,FrRnd,24,Cardinals via Rangers,STL,Y,"$1,375,000 ",*Blake Williams(minors),RHP,,,,,,,,,,,,,4Yr,"Texas State University (San Marcos, TX)"
2000,1,,3,FrRnd,3,Cubs,CHC,Y,"$2,750,000 ",Luis Montanez(minors),SS,-1.3,129,305,5,0.223,0.586,,,,,,,HS,"Coral Park HS (Miami, FL)"
2000,1,,6,FrRnd,6,Devil Rays,TBD,Y,"$2,250,000 ",Rocco Baldelli(minors),OF,10.2,519,1910,60,0.278,0.766,,,,,,,HS,"Bishop Hendricken HS (Warwick, RI)"
2000,1,,17,FrRnd,17,Dodgers,LAD,Y,"$2,200,000 ",Ben Diggins(minors),RHP,-0.7,5,7,0,0.143,0.286,5,0,4,8.63,1.92,0,4Yr,"University of Arizona (Tucson, AZ)"
2000,1,,5,FrRnd,5,Expos,NAT,Y,"$2,950,000 ",Justin Wayne(minors),RHP,-1.5,26,12,0,0,0,26,5,8,6.13,1.65,0,4Yr,"Stanford University (Palo Alto, CA)"
