Name,Year,OvPck,RdPck,Rnd,Tm,Pos,DT,FrRnd,Signed,Bonus,WAR,G,AB,HR,BA,OPS,Type,Drafted Out of
Bubba Starling(minors),2011,5,5,1,Royals,OF,0.0,FrRnd,Y,"$7,500,000 ",-1.8,91.0,245.0,5.0,0.204,0.544,HS,"Gardner-Edgerton HS (Gardner, KS)"
Anthony Rendon(minors),2011,6,6,1,Nationals,3B,0.0,FrRnd,Y,"$6,000,000 ",33.1,1071.0,3992.0,156.0,0.285,0.848,4Yr,"Rice University (Houston, TX)"
Francisco Lindor(minors),2011,8,8,1,Indians,SS,0.0,FrRnd,Y,"$2,900,000 ",33.2,983.0,3904.0,171.0,0.275,0.814,HS,"Montverde Academy (Montverde, FL)"
Javier Baez(minors),2011,9,9,1,Cubs,SS,0.0,FrRnd,Y,"$2,625,000 ",23.7,930.0,3301.0,156.0,0.26,0.769,HS,"Arlington Country Day School (Jacksonville, FL)"
*Cory Spangenberg(minors),2011,10,10,1s,Padres,2B,0.0,FrRnd,Y,"$1,863,000 ",4.7,419.0,1250.0,29.0,0.256,0.704,JC,"Indian River State College (Fort Pierce, FL)"
George Springer(minors),2011,11,11,1,Astros,OF,0.0,FrRnd,Y,"$2,525,000 ",32.3,947.0,3660.0,211.0,0.268,0.853,4Yr,"University of Connecticut (Storrs, CT)"
Brandon Nimmo(minors),2011,13,13,1,Mets,OF,0.0,FrRnd,Y,"$2,100,000 ",14.7,531.0,1674.0,54.0,0.268,0.831,HS,"East HS (Cheyenne, WY)"
C.J. Cron(minors),2011,17,17,1,Angels,1B,0.0,FrRnd,Y,"$1,467,000 ",13.4,910.0,3156.0,166.0,0.265,0.808,4Yr,"University of Utah (Salt Lake City, UT)"
Kolten Wong(minors),2011,22,22,1,Cardinals,2B,0.0,FrRnd,Y,"$1,300,000 ",20.7,1029.0,3349.0,73.0,0.261,0.727,4Yr,"University of Hawaii at Manoa (Honolulu, HI)"
*Blake Swihart(minors),2011,26,26,1,Red Sox via Rangers,C,0.0,FrRnd,Y,"$2,500,000 ",-0.3,234.0,639.0,12.0,0.243,0.656,HS,"V Sue Cleveland HS (Rio Rancho, NM)"
Joe Panik(minors),2011,29,29,1,Giants,SS,0.0,FrRnd,Y,"$1,116,000 ",5.4,818.0,2778.0,42.0,0.264,0.7,4Yr,"St. John's University (Queens, NY)"
Levi Michael(minors),2011,30,30,1,Twins,SS,0.0,FrRnd,Y,"$1,175,000 ",0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"University of North Carolina at Chapel Hill (Chapel Hill, NC)"
*Mikie Mahtook(minors),2011,31,31,1,Rays via Yankees,OF,0.0,FrRnd,Y,"$1,150,000 ",0.3,291.0,884.0,33.0,0.235,0.697,4Yr,"Louisiana State University (Baton Rouge, LA)"
Jake Hager(minors),2011,32,32,1,Rays,SS,0.0,FrRnd,Y,"$963,000 ",-0.1,42.0,76.0,0.0,0.197,0.531,HS,"Sierra Vista HS (Las Vegas, NV)"
*Brian Goodwin(minors),2011,34,34,1s,Nationals,OF,0.0,FrRnd,Y,"$3,000,000 ",1.5,429.0,1244.0,50.0,0.244,0.757,4Yr,"Miami Dade College, Kendall Campus (Miami, FL)"
*Jacob Anderson(minors),2011,35,35,1s,Blue Jays,OF,0.0,FrRnd,Y,"$990,000 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"Chino HS (Chino, CA)"
*Zach Cone(minors),2011,37,37,1s,Rangers,OF,0.0,FrRnd,Y,"$873,000 ",0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"University of Georgia (Athens, GA)"
