Year,Rnd,DT,OvPck,FrRnd,RdPck,Tm,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G,W,L,ERA,WHIP,SV,Type,Drafted Out of,Team Made Playoffs
2008,1,,1,FrRnd,1,Rays,Y,"$6,150,000 ",Tim Beckhamÿ(minors),SS,3.8,472,1614,63,0.249,0.733,,,,,,,HS,"Griffin HS (Griffin, GA)",1
2008,1,,2,FrRnd,2,Pirates,Y,"$6,000,000 ",Pedro Alvarezÿ(minors),3B,5,910,2980,162,0.236,0.757,,,,,,,4Yr,"Vanderbilt University (Nashville, TN)",0
2008,1,,3,FrRnd,3,Royals,Y,"$6,000,000 ",Eric Hosmerÿ(minors),1B,18.9,1628,6154,194,0.277,0.765,,,,,,,HS,"American Heritage HS (Plantation, FL)",0
2008,1,,4,FrRnd,4,Orioles,Y,"$3,200,000 ",Brian Matuszÿ(minors),LHP,2.1,19,8,0,0.125,0.25,280,27,41,4.92,1.46,0,4Yr,"University of San Diego (San Diego, CA)",0
2008,1,,5,FrRnd,5,Giants,Y,"$6,200,000 ",Buster Poseyÿ(minors),C,44.8,1371,4970,158,0.302,0.831,,,,,,,4Yr,"Florida State University (Tallahassee, FL)",0
2008,1,,6,FrRnd,6,Marlins,Y,"$2,300,000 ",Kyle Skipworthÿ(minors),C,-0.1,4,3,0,0,0.25,,,,,,,HS,"Patriot HS (Jurupa Valley, CA)",0
2008,1,,7,FrRnd,7,Reds,Y,"$2,000,000 ",Yonder Alonsoÿ(minors),1B,8.1,1072,3362,100,0.259,0.736,,,,,,,4Yr,"University of Miami (Coral Gables, FL)",0
2008,1,,8,FrRnd,8,White Sox,Y,"$2,600,000 ",Gordon Beckhamÿ(minors),SS,5.5,1069,3403,80,0.237,0.667,,,,,,,4Yr,"University of Georgia (Athens, GA)",1
2008,1,,9,FrRnd,9,Nationals,N,,Aaron Crowÿ(minors),RHP,2.7,17,0,0,,,254,20,11,3.43,1.32,6,4Yr,"University of Missouri (Columbia, MO)",0
2008,1,,10,FrRnd,10,Astros,Y,"$2,070,000 ",Jason Castroÿ(minors),C,12.5,952,2981,97,0.227,0.699,,,,,,,4Yr,"Stanford University (Palo Alto, CA)",0
2008,1,,11,FrRnd,11,Rangers,Y,"$3,500,000 ",Justin Smoakÿ(minors),1B,6.9,1286,4153,196,0.229,0.74,,,,,,,4Yr,"University of South Carolina (Columbia, SC)",0
2008,1,,12,FrRnd,12,Athletics,Y,"$1,910,000 ",Jemile Weeksÿ(minors),2B,1.5,260,955,4,0.255,0.667,,,,,,,4Yr,"University of Miami (Coral Gables, FL)",0
2008,1,,13,FrRnd,13,Cardinals,Y,"$1,840,000 ",Brett Wallaceÿ(minors),1B,-0.2,494,1284,40,0.238,0.705,,,,,,,4Yr,"Arizona State University (Tempe, AZ)",0
2008,1,,14,FrRnd,14,Twins,Y,"$1,780,000 ",Aaron Hicksÿ(minors),OF,12.9,811,2635,96,0.233,0.724,,,,,,,HS,"Woodrow Wilson HS (Long Beach, CA)",0
2008,1,,15,FrRnd,15,Dodgers,Y,"$1,730,000 ",Ethan Martinÿ(minors),RHP,-0.6,17,9,0,0,0,17,2,5,5.93,1.64,0,HS,"Stephens County School (Toccoa, GA)",1
2008,1,,16,FrRnd,16,Brewers,Y,"$1,700,000 ",Brett Lawrieÿ(minors),3B,15.6,588,2217,71,0.261,0.734,,,,,,,HS,"Brookswood SS (Langley, BC)",1
2008,1,,17,FrRnd,17,Blue Jays,Y,"$1,500,000 ",David Cooperÿ(minors),1B,0.1,72,211,6,0.27,0.751,,,,,,,4Yr,"University of California, Berkeley (Berkeley, CA)",0
2008,1,,18,FrRnd,18,Mets via Braves,Y,"$1,575,000 ",*Ike Davisÿ(minors),1B,5.8,665,2076,81,0.239,0.746,2,0,0,0,1,0,4Yr,"Arizona State University (Tempe, AZ)",0
2008,1,,19,FrRnd,19,Cubs,Y,"$1,540,000 ",Andrew Cashnerÿ(minors),RHP,10.9,216,203,1,0.158,0.377,300,57,87,4.1,1.36,1,4Yr,"Texas Christian University (Fort Worth, TX)",1
2008,1,,20,FrRnd,20,Mariners,Y,"$1,750,000 ",Josh Fieldsÿ(minors),RHP,1.8,133,1,0,0,0,288,17,12,3.71,1.17,13,4Yr,"University of Georgia (Athens, GA)",0
2008,1,,21,FrRnd,21,Tigers,Y,"$1,480,000 ",Ryan Perryÿ(minors),RHP,0.2,11,0,0,,,156,6,6,4.36,1.45,2,4Yr,"University of Arizona (Tucson, AZ)",0
2008,1,,22,FrRnd,22,Mets,Y,"$1,419,000 ",Reese Havensÿ(minors),SS,,,,,,,,,,,,,4Yr,"University of South Carolina (Columbia, SC)",0
2008,1,,23,FrRnd,23,Padres,Y,"$1,150,000 ",Allan Dykstraÿ(minors),1B,-0.5,13,31,1,0.129,0.515,,,,,,,4Yr,"Wake Forest University (Winston-Salem, NC)",0
2008,1,,24,FrRnd,24,Phillies,Y,"$1,380,000 ",Anthony Hewittÿ(minors),SS,,,,,,,,,,,,,HS,"Salisbury Prep (Salisbury, CT)",1
2008,1,,25,FrRnd,25,Rockies,Y,"$1,350,000 ",Christian Friedrichÿ(minors),LHP,-0.7,117,70,0,0.071,0.216,124,10,28,5.37,1.52,0,4Yr,"Eastern Kentucky University (Richmond, KY)",0
2008,1,,26,FrRnd,26,Diamondbacks,Y,"$1,330,000 ",Daniel Schlerethÿ(minors),LHP,0,25,0,0,,,94,5,6,4.35,1.57,1,4Yr,"University of Arizona (Tucson, AZ)",0
2008,1,,27,FrRnd,27,Twins via Angels,Y,"$1,290,000 ",*Carlos Gutierrezÿ(minors),RHP,,,,,,,,,,,,,4Yr,"University of Miami (Coral Gables, FL)",0
