Year,Rnd,DT,OvPck,FrRnd,RdPck,Tm,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G,W,L,ERA,WHIP,SV,Type,Drafted Out of,Team Made Playoffs
2012,1,,1,FrRnd,1,Astros,Y,"$4,800,000 ",Carlos Correa (minors),SS,36,812,3054,142,0.278,0.836,,,,,,,HS,"Puerto Rico Baseball Academy (Gurabo, Puerto Rico)",0
2012,1,,2,FrRnd,2,Twins,Y,"$6,000,000 ",Byron Buxton (minors),OF,18.9,555,1845,92,0.246,0.775,,,,,,,HS,"Appling County HS (Baxley, GA)",0
2012,1,,3,FrRnd,3,Mariners,Y,"$4,000,000 ",Mike Zunino (minors),C,10.1,850,2674,146,0.2,0.681,,,,,,,4Yr,"University of Florida (Gainesville, FL)",0
2012,1,,4,FrRnd,4,Orioles,Y,"$4,320,000 ",Kevin Gausman (minors),RHP,18.1,81,110,0,0.109,0.27,252,70,78,3.94,1.28,0,4Yr,"Louisiana State University (Baton Rouge, LA)",1
2012,1,,5,FrRnd,5,Royals,Y,"$3,000,000 ",Kyle Zimmer (minors),RHP,0,4,0,0,,,83,5,2,5.19,1.54,2,4Yr,"University of San Francisco (San Francisco, CA)",0
2012,1,,6,FrRnd,6,Cubs,Y,"$3,900,000 ",Albert Almora (minors),OF,2.7,580,1429,33,0.264,0.69,1,0,0,27,2,0,HS,"Mater Academy Charter School (Hialeah, FL)",0
2012,1,,7,FrRnd,7,Padres,Y,"$3,000,000 ",Max Fried (minors),LHP,15.9,93,126,0,0.214,0.542,111,48,20,3.22,1.19,0,HS,"Harvard-Westlake HS (Los Angeles, CA)",0
2012,1,,8,FrRnd,8,Pirates,N,,Mark Appel (minors),RHP,0.1,0,0,,,,2,0,0,0,0.5,0,4Yr,"Stanford University (Palo Alto, CA)",0
2012,1,,9,FrRnd,9,Marlins,Y,"$2,600,000 ",Andrew Heaney (minors),LHP,6.4,15,24,0,0.125,0.285,124,33,38,4.63,1.25,0,4Yr,"Oklahoma State University (Stillwater, OK)",0
2012,1,,10,FrRnd,10,Rockies,Y,"$2,600,000 ",David Dahl (minors),OF,0.6,327,1143,42,0.272,0.781,,,,,,,HS,"Oak Mountain HS (Birmingham, AL)",0
2012,1,,11,FrRnd,11,Athletics,Y,"$2,625,000 ",Addison Russell (minors),SS,11.3,615,1987,60,0.242,0.704,,,,,,,HS,"Pace HS (Pace, FL)",1
2012,1,,12,FrRnd,12,Mets,Y,"$2,300,000 ",Gavin Cecchini (minors),SS,-0.5,36,83,1,0.217,0.571,,,,,,,HS,"Alfred M. Barbe HS (Lake Charles, LA)",0
2012,1,,13,FrRnd,13,White Sox,Y,"$2,475,000 ",Courtney Hawkins (minors),OF,,,,,,,,,,,,,HS,"Mary Carroll HS (Corpus Christi, TX)",0
