Year,Rnd,DT,OvPck,FrRnd,RdPck,Tm,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G,W,L,ERA,WHIP,SV,Type,Drafted Out of
2000,1,,1,FrRnd,1,Marlins,Y,"$3,000,000 ",Adrian Gonzalez (minors),1B,43.5,1929,7139,317,0.287,0.843,,,,,,,HS,"Eastlake HS (Chula Vista, CA)"
2000,1,,2,FrRnd,2,Twins,Y,"$2,500,000 ",Adam Johnson (minors),RHP,-1.1,1,2,0,0,0,9,1,3,10.25,2.05,0,4Yr,"California State University, Fullerton (Fullerton, CA)"
2000,1,,3,FrRnd,3,Cubs,Y,"$2,750,000 ",Luis Montanez (minors),SS,-1.3,129,305,5,0.223,0.586,,,,,,,HS,"Coral Park HS (Miami, FL)"
2000,1,,4,FrRnd,4,Royals,Y,"$2,500,000 ",Mike Stodolka (minors),LHP,,,,,,,,,,,,,HS,"Centennial HS (Corona, CA)"
2000,1,,5,FrRnd,5,Expos,Y,"$2,950,000 ",Justin Wayne (minors),RHP,-1.5,26,12,0,0,0,26,5,8,6.13,1.65,0,4Yr,"Stanford University (Palo Alto, CA)"
2000,1,,6,FrRnd,6,Devil Rays,Y,"$2,250,000 ",Rocco Baldelli (minors),OF,10.2,519,1910,60,0.278,0.766,,,,,,,HS,"Bishop Hendricken HS (Warwick, RI)"
2000,1,,7,FrRnd,7,Rockies,N,,Matt Harrington (minors),RHP,,,,,,,,,,,,,HS,"Palmdale HS (Palmdale, CA)"
2000,1,,8,FrRnd,8,Tigers,Y,"$2,150,000 ",Matt Wheatland (minors),RHP,,,,,,,,,,,,,HS,"Rancho Bernardo HS (San Diego, CA)"
2000,1,,9,FrRnd,9,Padres,Y,"$2,200,000 ",Mark Phillips (minors),LHP,,,,,,,,,,,,,HS,"Hanover HS (Hanover, PA)"
2000,1,,10,FrRnd,10,Angels,Y,"$2,080,000 ",Joe Torres (minors),LHP,,,,,,,,,,,,,HS,"Gateway HS (Kissimmee, FL)"
2000,1,,11,FrRnd,11,Brewers,Y,"$1,950,000 ",Dave Krynzel (minors),OF,0.2,21,48,0,0.188,0.486,,,,,,,HS,"Green Valley HS (Henderson, NV)"
2000,1,,12,FrRnd,12,White Sox,Y,"$5,300,000 ",Joe Borchard (minors),OF,-1.5,301,716,26,0.205,0.636,,,,,,,4Yr,"Stanford University (Palo Alto, CA)"
2000,1,,13,FrRnd,13,Cardinals,Y,"$1,750,000 ",Shaun Boyd (minors),OF,,,,,,,,,,,,,HS,"Vista HS (Vista, CA)"
