Year,Rnd,DT,OvPck,FrRnd,RdPck,Tm,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G,W,L,ERA,WHIP,SV,Type,Drafted Out of,Team Made Playoffs
2002,1,,1,FrRnd,1,Pirates,Y,"$4,000,000 ",Bryan Bullington (minors),RHP,-0.2,6,3,0,0.333,0.667,26,1,9,5.62,1.58,0,4Yr,"Ball State University (Muncie, IN)",0
2002,1,,2,FrRnd,2,Devil Rays,Y,"$4,600,000 ",B.J. Upton (minors),SS,16.8,1469,5175,164,0.244,0.723,,,,,,,HS,"Greenbrier Christian Academy (Chesapeake, VA)",0
2002,1,,3,FrRnd,3,Reds,Y,"$2,500,000 ",Chris Gruler (minors),RHP,,,,,,,,,,,,,HS,"Liberty HS (Brentwood, CA)",0
2002,1,,4,FrRnd,4,Orioles,Y,"$3,200,000 ",Adam Loewen (minors),LHP,-0.3,40,37,1,0.189,0.583,63,10,8,5.85,1.68,0,HS,"Fraser Valley Christian HS (Surrey, BC)",0
2002,1,,5,FrRnd,5,Expos,Y,"$2,500,000 ",Clint Everts (minors),RHP,,,,,,,,,,,,,HS,"Cypress Falls HS (Houston, TX)",0
2002,1,,6,FrRnd,6,Royals,Y,"$2,475,000 ",Zack Greinke (minors),RHP,74.9,259,521,9,0.225,0.598,542,221,136,3.43,1.16,1,HS,"Apopka HS (Apopka, FL)",0
2002,1,,7,FrRnd,7,Brewers,Y,"$2,400,000 ",Prince Fielder (minors),1B,23.8,1611,5821,319,0.283,0.887,,,,,,,HS,"Eau Gallie HS (Melbourne, FL)",0
2002,1,,8,FrRnd,8,Tigers,Y,"$2,300,000 ",Scott Moore (minors),SS,-0.8,152,385,16,0.242,0.713,,,,,,,HS,"Cypress HS (Cypress, CA)",0
2002,1,,9,FrRnd,9,Rockies,Y,"$1,850,000 ",Jeff Francis (minors),LHP,9.6,191,303,0,0.116,0.322,254,72,82,4.97,1.44,1,4Yr,"University of British Columbia (Vancouver, BC)",0
2002,1,,10,FrRnd,10,Rangers,Y,"$1,875,000 ",Drew Meyer (minors),SS,-0.3,5,14,0,0.214,0.429,,,,,,,4Yr,"University of South Carolina (Columbia, SC)",0
2002,1,,11,FrRnd,11,Marlins,Y,"$2,012,500 ",Jeremy Hermida (minors),OF,2.7,632,2012,65,0.257,0.749,,,,,,,HS,"Wheeler HS (Marietta, GA)",0
2002,1,,12,FrRnd,12,Angels,Y,"$1,825,000 ",Joe Saunders (minors),LHP,8.4,68,128,0,0.133,0.311,235,89,86,4.37,1.42,0,4Yr,"Virginia Polytechnic Institute and State University (Blacksburg, VA)",1
2002,1,,13,FrRnd,13,Padres,Y,"$1,500,000 ",Khalil Greene (minors),SS,8.5,736,2567,90,0.245,0.723,,,,,,,4Yr,"Clemson University (Clemson, SC)",0
2002,1,,14,FrRnd,14,Blue Jays,Y,"$1,785,000 ",Russ Adams (minors),SS,0,286,884,17,0.247,0.685,,,,,,,4Yr,"University of North Carolina at Chapel Hill (Chapel Hill, NC)",0
2002,1,,15,FrRnd,15,Mets,Y,"$2,150,000 ",Scott Kazmir (minors),LHP,22.4,45,72,0,0.111,0.234,303,108,97,4.02,1.35,0,HS,"Cypress Falls HS (Houston, TX)",0
2002,1,,16,FrRnd,16,Athletics via Red Sox,Y,"$1,780,000 ",*Nick Swisher (minors),1B,21.5,1527,5369,245,0.249,0.799,1,0,0,0,2,0,4Yr,"The Ohio State University (Columbus, OH)",1
2002,1,,17,FrRnd,17,Phillies,Y,"$2,000,000 ",Cole Hamels (minors),LHP,59,331,688,2,0.169,0.401,423,163,122,3.43,1.18,0,HS,"Rancho Bernardo HS (San Diego, CA)",0
2002,1,,18,FrRnd,18,White Sox,Y,"$1,600,000 ",Royce Ring (minors),LHP,-0.9,87,0,0,,,99,3,3,5.29,1.57,0,4Yr,"San Diego State University (San Diego, CA)",0
2002,1,,19,FrRnd,19,Dodgers,Y,"$1,500,000 ",James Loney (minors),1B,11.3,1443,5023,108,0.284,0.746,,,,,,,HS,"Lawrence E Elkins HS (Missouri City, TX)",0
2002,1,,20,FrRnd,20,Twins,Y,"$1,700,000 ",Denard Span (minors),OF,27.9,1359,5326,71,0.281,0.745,,,,,,,HS,"Tampa Catholic HS (Tampa, FL)",1
2002,1,,21,FrRnd,21,Cubs,Y,"$2,500,000 ",Bobby Brownlie (minors),RHP,,,,,,,,,,,,,4Yr,"Rutgers, the State University of New Jersey (New Brunswick, NJ)",0
2002,1,,22,FrRnd,22,Indians,Y,"$3,000,000 ",Jeremy Guthrie (minors),RHP,18.4,42,60,0,0.1,0.262,306,91,109,4.42,1.34,0,4Yr,"Stanford University (Palo Alto, CA)",0
2002,1,,23,FrRnd,23,Braves,Y,"$2,200,000 ",Jeff Francoeur (minors),OF,6.8,1480,5260,160,0.261,0.72,1,0,0,9,2,0,HS,"Parkview HS (Lilburn, GA)",1
2002,1,,24,FrRnd,24,Athletics via Yankees,Y,"$1,400,000 ",*Joe Blanton (minors),RHP,11.8,262,216,0,0.107,0.263,427,101,97,4.38,1.34,2,4Yr,"University of Kentucky (Lexington, KY)",1
2002,1,,25,FrRnd,25,Giants,Y,"$1,375,000 ",Matt Cain (minors),RHP,29.1,332,611,7,0.121,0.331,342,104,118,3.68,1.23,0,HS,"Houston HS (Germantown, TN)",1
2002,1,,26,FrRnd,26,Athletics,Y,"$1,375,000 ",John McCurdy (minors),SS,,,,,,,,,,,,,4Yr,"University of Maryland (College Park, MD)",1
2002,1,,27,FrRnd,27,Diamondbacks,Y,"$1,400,000 ",Sergio Santos (minors),SS,2,27,1,0,0,0,194,7,12,3.98,1.33,39,HS,"Mater Dei HS (Santa Ana, CA)",1
2002,1,,28,FrRnd,28,Mariners,N,,John Mayberry (minors),OF,1.5,574,1386,56,0.235,0.72,,,,,,,HS,"Rockhurst HS (Kansas City, MO)",0
2002,1,,29,FrRnd,29,Astros,Y,"$1,125,000 ",Derick Grigsby (minors),RHP,,,,,,,,,,,,,JC,"Northeast Texas Community College (Mount Pleasant, TX)",0
2002,1,,30,FrRnd,30,Athletics via Cardinals,Y,"$1,200,000 ",*Ben Fritz (minors),RHP,,,,,,,,,,,,,4Yr,"California State University, Fresno (Fresno, CA)",1
2002,1s,,31,FrRnd,31,Dodgers,Y,"$1,200,000 ",*Greg Miller (minors),LHP,,,,,,,,,,,,,HS,"Esperanza HS (Anaheim, CA)",0
2002,1s,,32,FrRnd,32,Cubs,Y,"$1,150,000 ",*Luke Hagerty (minors),LHP,,,,,,,,,,,,,4Yr,"Ball State University (Muncie, IN)",0
2002,1s,,33,FrRnd,33,Indians,Y,"$1,125,000 ",*Matt Whitney (minors),3B,,,,,,,,,,,,,HS,"Palm Beach Gardens HS (Palm Beach Gardens, FL)",0
2002,1s,,34,FrRnd,34,Braves,Y,"$1,000,000 ",*Dan Meyer (minors),LHP,-0.9,82,2,0,0,0,103,3,9,5.46,1.55,2,4Yr,"James Madison University (Harrisonburg, VA)",1
2002,1s,,35,FrRnd,35,Athletics,Y,"$350,000 ",*Jeremy Brown (minors),C,0.1,5,10,0,0.3,0.864,,,,,,,4Yr,"University of Alabama (Tuscaloosa, AL)",1
2002,1s,,36,FrRnd,36,Cubs,Y,"$1,050,000 ",*Chadd Blasko (minors),RHP,,,,,,,,,,,,,4Yr,"Purdue University (West Lafayette, IN)",0
2002,1s,,37,FrRnd,37,Athletics,Y,"$750,000 ",*Steve Obenchain (minors),RHP,,,,,,,,,,,,,4Yr,"University of Evansville (Evansville, IN)",1
2002,1s,,38,FrRnd,38,Cubs,Y,"$875,000 ",*Matt Clanton (minors),RHP,,,,,,,,,,,,,JC,"Orange Coast College (Costa Mesa, CA)",0
2002,1s,,39,FrRnd,39,Athletics,Y,"$725,000 ",*Mark Teahen (minors),3B,2.6,831,2873,67,0.264,0.736,,,,,,,4Yr,"Saint Mary's College of California (Moraga, CA)",1
2002,1s,,40,FrRnd,40,Reds,Y,"$200,000 ",*Mark Schramek (minors),3B,,,,,,,,,,,,,4Yr,"University of Texas at San Antonio (San Antonio, TX)",0
2002,1s,,41,FrRnd,41,Indians,Y,"$915,000 ",*Micah Schilling (minors),2B,,,,,,,,,,,,,HS,"Silliman Institute (Clinton, LA)",0
