Name,Year,OvPck,RdPck,Rnd,Tm,Pos,FrRnd,Signed,Bonus,WAR,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of
Gerrit Cole(minors),2011,1,1,1,Pirates,RHP,FrRnd,Y,"$8,000,000 ",33.3,250.0,124.0,65.0,3.19,1.11,0.0,4Yr,"University of California, Los Angeles (Los Angeles, CA)"
Danny Hultzen(minors),2011,2,2,1,Mariners,LHP,FrRnd,Y,"$6,350,000 ",0.2,6.0,0.0,0.0,0.0,1.8,0.0,4Yr,"University of Virginia (Charlottesville, VA)"
Trevor Bauer(minors),2011,3,3,1,Diamondbacks,RHP,FrRnd,Y,"$3,400,000 ",21.0,222.0,83.0,69.0,3.79,1.24,1.0,4Yr,"University of California, Los Angeles (Los Angeles, CA)"
Dylan Bundy(minors),2011,4,4,1,Orioles,RHP,FrRnd,Y,"$4,000,000 ",7.8,175.0,50.0,61.0,4.7,1.3,0.0,HS,"Owasso HS (Owasso, OK)"
*Archie Bradley(minors),2011,7,7,1s,Diamondbacks,RHP,FrRnd,Y,"$5,000,000 ",5.8,329.0,30.0,29.0,3.92,1.36,32.0,HS,"Broken Arrow HS (Broken Arrow, OK)"
Taylor Jungmann(minors),2011,12,12,1,Brewers,RHP,FrRnd,Y,"$2,525,000 ",1.2,30.0,9.0,13.0,4.54,1.38,0.0,4Yr,"University of Texas at Austin (Austin, TX)"
Jose Fernandez(minors),2011,14,14,1,Marlins,RHP,FrRnd,Y,"$2,000,000 ",14.2,76.0,38.0,17.0,2.58,1.05,0.0,HS,"Braulio Alonso HS (Tampa, FL)"
*Jed Bradley(minors),2011,15,15,1s,Brewers,LHP,FrRnd,Y,"$2,000,000 ",0.0,6.0,1.0,1.0,5.14,1.86,0.0,4Yr,"Georgia Institute of Technology (Atlanta, GA)"
Chris Reed(minors),2011,16,16,1,Dodgers,LHP,FrRnd,Y,"$1,589,000 ",0.0,2.0,0.0,0.0,4.5,1.75,0.0,4Yr,"Stanford University (Palo Alto, CA)"
Sonny Gray(minors),2011,18,18,1,Athletics,RHP,FrRnd,Y,"$1,540,000 ",24.0,234.0,86.0,73.0,3.56,1.21,0.0,4Yr,"Vanderbilt University (Nashville, TN)"
*Matt Barnes(minors),2011,19,19,1,Red Sox via Tigers,RHP,FrRnd,Y,"$1,500,000 ",3.2,405.0,32.0,29.0,4.2,1.35,41.0,4Yr,"University of Connecticut (Storrs, CT)"
Tyler Anderson(minors),2011,20,20,1,Rockies,LHP,FrRnd,Y,"$1,400,000 ",9.3,132.0,38.0,39.0,4.44,1.28,0.0,4Yr,"University of Oregon (Eugene, OR)"
Tyler Beede(minors),2011,21,21,1,Blue Jays,RHP,FrRnd,N,0,0.2,46.0,5.0,12.0,5.07,1.53,0.0,HS,"Lawrence Academy (Groton, MA)"
*Alex Meyer(minors),2011,23,23,1,Nationals via White Sox,RHP,FrRnd,Y,"$2,000,000 ",0.7,22.0,5.0,8.0,4.63,1.46,0.0,4Yr,"University of Kentucky (Lexington, KY)"
*Taylor Guerrieri(minors),2011,24,24,1,Rays via Red Sox,RHP,FrRnd,Y,"$1,600,000 ",0.2,29.0,0.0,0.0,5.5,1.69,0.0,HS,"Spring Valley HS (Columbia, SC)"
Joe Ross(minors),2011,25,25,1,Padres,RHP,FrRnd,Y,"$2,750,000 ",4.9,98.0,26.0,28.0,4.26,1.33,0.0,HS,"Bishop O'Dowd HS (Oakland, CA)"
Robert Stephenson(minors),2011,27,27,1,Reds,RHP,FrRnd,Y,"$2,000,000 ",-0.4,179.0,12.0,15.0,4.94,1.45,2.0,HS,"Alhambra HS (Martinez, CA)"
Sean Gilmartin(minors),2011,28,28,1,Braves,LHP,FrRnd,Y,"$1,134,000 ",1.1,81.0,4.0,5.0,4.34,1.42,0.0,4Yr,"Florida State University (Tallahassee, FL)"
*Kevin Matthews(minors),2011,33,33,1,Rangers via Phillies,LHP,FrRnd,Y,"$936,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"Richmond Hill HS (Richmond Hill, GA)"
*Henry Owens(minors),2011,36,36,1s,Red Sox,LHP,FrRnd,Y,"$1,550,000 ",0.1,16.0,4.0,6.0,5.19,1.52,0.0,HS,"Edison HS (Huntington Beach, CA)"
*Jeff Ames(minors),2011,42,42,1s,Rays,RHP,FrRnd,Y,"$650,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,JC,"Lower Columbia College (Longview, WA)"
*Andrew Chafin(minors),2011,43,43,1s,Diamondbacks,LHP,FrRnd,Y,"$875,000 ",7.2,441.0,12.0,18.0,3.25,1.22,9.0,4Yr,"Kent State University (Kent, OH)"
*Michael Fulmer(minors),2011,44,44,1s,Mets,RHP,FrRnd,Y,"$937,500 ",12.7,168.0,31.0,41.0,3.85,1.23,15.0,HS,"Deer Creek HS (Edmond, OK)"
*Joe Musgrove(minors),2011,46,46,1s,Blue Jays,RHP,FrRnd,Y,"$500,000 ",10.0,154.0,48.0,49.0,3.81,1.16,2.0,HS,"Grossmont HS (La Mesa, CA)"
*Michael Kelly(minors),2011,48,48,1s,Padres,RHP,FrRnd,Y,"$718,000 ",0.1,2.0,0.0,0.0,0.0,0.5,0.0,HS,"West Boca Raton Community HS (Boca Raton, FL)"
*Kyle Crick(minors),2011,49,49,1s,Giants,RHP,FrRnd,Y,"$900,000 ",1.6,194.0,9.0,11.0,3.56,1.32,2.0,HS,"Sherman HS (Sherman, TX)"
*Blake Snell(minors),2011,52,52,1s,Rays,LHP,FrRnd,Y,"$684,000 ",12.7,143.0,49.0,41.0,3.51,1.26,0.0,HS,"Shorewood HS (Shoreline, WA)"
*Hudson Boyd(minors),2011,55,55,1s,Twins,RHP,FrRnd,Y,"$1,000,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"Bishop Verot HS (Fort Myers, FL)"
*Kevin Comer(minors),2011,57,57,1s,Blue Jays,RHP,FrRnd,Y,"$1,650,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"Seneca HS (Tabernacle, NJ)"
*Grayson Garvin(minors),2011,59,59,1s,Rays,LHP,FrRnd,Y,"$370,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"Vanderbilt University (Nashville, TN)"
Jameson Taillon(minors),2010,2,2,1,Pirates,RHP,FrRnd,Y,"$6,500,000 ",11.3,127.0,46.0,32.0,3.79,1.23,0.0,HS,"The Woodlands HS (The Woodlands, TX)"
Drew Pomeranz(minors),2010,5,5,1,Indians,LHP,FrRnd,Y,"$2,650,000 ",12.4,289.0,48.0,58.0,3.91,1.35,9.0,4Yr,"University of Mississippi (Oxford, MS)"
Barret Loux(minors),2010,6,6,1,Diamondbacks,RHP,FrRnd,N,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"Texas A&M University (College Station, TX)"
Matt Harvey(minors),2010,7,7,1,Mets,RHP,FrRnd,Y,"$2,525,000 ",9.4,180.0,50.0,66.0,4.42,1.29,0.0,4Yr,"University of North Carolina at Chapel Hill (Chapel Hill, NC)"
Karsten Whitson(minors),2010,9,9,1,Padres,RHP,FrRnd,N,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"Chipley HS (Chipley, FL)"
Deck McGuire(minors),2010,11,11,1,Blue Jays,RHP,FrRnd,Y,"$2,000,000 ",-0.2,27.0,1.0,3.0,5.23,1.47,0.0,4Yr,"Georgia Institute of Technology (Atlanta, GA)"
Chris Sale(minors),2010,13,13,1,White Sox,LHP,FrRnd,Y,"$1,656,000 ",45.5,321.0,114.0,74.0,3.03,1.04,12.0,4Yr,"Florida Gulf Coast University (Fort Myers, FL)"
Dylan Covey(minors),2010,14,14,1,Brewers,RHP,FrRnd,N,0,-3.0,71.0,6.0,29.0,6.57,1.59,0.0,HS,"Maranatha HS (Pasadena, CA)"
Hayden Simpson(minors),2010,16,16,1,Cubs,RHP,FrRnd,Y,"$1,060,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"Southern Arkansas University (Magnolia, AR)"
*Kaleb Cowart(minors),2010,18,18,1,Angels via Mariners,RHP,FrRnd,Y,"$2,300,000 ",-1.4,0.0,0.0,0.0,0.0,0.0,0.0,HS,"Cook HS (Adel, GA)"
*Mike Foltynewicz(minors),2010,19,19,1,Astros via Tigers,RHP,FrRnd,Y,"$1,305,000 ",4.3,166.0,46.0,54.0,4.52,1.32,0.0,HS,"Minooka HS (Minooka, IL)"
Alex Wimmers(minors),2010,21,21,1,Twins,RHP,FrRnd,Y,"$1,332,000 ",0.2,22.0,1.0,3.0,4.38,1.66,0.0,4Yr,"The Ohio State University (Columbus, OH)"
Jesse Biddle(minors),2010,27,27,1,Phillies,LHP,FrRnd,Y,"$1,160,000 ",-0.6,99.0,6.0,2.0,5.07,1.6,1.0,HS,"Germantown Friends HS (Philadelphia, PA)"
Zach Lee(minors),2010,28,28,1,Dodgers,RHP,FrRnd,Y,"$5,250,000 ",-0.3,4.0,1.0,1.0,8.53,2.21,0.0,HS,"McKinney HS (McKinney, TX)"
*Cam Bedrosian(minors),2010,29,29,1,Angels via Red Sox,RHP,FrRnd,Y,"$1,116,000 ",1.7,311.0,17.0,13.0,3.81,1.37,9.0,HS,"East Coweta HS (Sharpsburg, GA)"
Cito Culver(minors),2010,32,32,1,Yankees,RHP,FrRnd,Y,"$954,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"Irondequoit HS (Rochester, NY)"
*Aaron Sanchez(minors),2010,34,34,1s,Blue Jays,RHP,FrRnd,Y,"$775,000 ",8.2,166.0,38.0,37.0,4.14,1.38,3.0,HS,"Barstow HS (Barstow, CA)"
