Year,Rnd,DT,FrRnd,RdPck,Tm,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G,W,L,ERA,WHIP,SV,Type,Drafted Out of
2021,1,,FrRnd,1,Pirates,Y,"$6,500,000 ",Henry Davis (minors),C,,,,,,,,,,,,,4Yr,"University of Louisville (Louisville, KY)"
2020,1,,FrRnd,1,Tigers,Y,"$8,416,300 ",Spencer Torkelson (minors),3B,-1.3,65,207,4,0.193,0.579,,,,,,,4Yr,"Arizona State University (Tempe, AZ)"
2019,1,,FrRnd,1,Orioles,Y,"$8,100,000 ",Adley Rutschman (minors),C,0.9,29,106,2,0.226,0.699,,,,,,,4Yr,"Oregon State University (Corvallis, OR)"
2018,1,,FrRnd,1,Tigers,Y,"$7,500,000 ",Casey Mize (minors),RHP,2.8,2,2,0,0,0.333,39,7,13,4.29,1.21,0,4Yr,"Auburn University (Auburn, AL)"
2017,1,,FrRnd,1,Twins,Y,"$6,725,000 ",Royce Lewis (minors),SS,0.3,12,40,2,0.3,0.867,,,,,,,HS,"JSerra Catholic HS (San Juan Capistrano, CA)"
2016,1,,FrRnd,1,Phillies,Y,"$6,100,000 ",Mickey Moniak (minors),OF,-0.4,38,72,1,0.139,0.425,,,,,,,HS,"La Costa Canyon HS (Carlsbad, CA)"
2015,1,,FrRnd,1,Diamondbacks,Y,"$6,500,000 ",Dansby Swanson (minors),SS,12.1,739,2679,90,0.255,0.742,,,,,,,4Yr,"Vanderbilt University (Nashville, TN)"
2014,1,,FrRnd,1,Astros,N,,Brady Aiken (minors),LHP,,,,,,,,,,,,,HS,"Cathedral Catholic HS (San Diego, CA)"
2013,1,,FrRnd,1,Astros,Y,"$6,350,000 ",Mark Appel (minors),RHP,,,,,,,,,,,,,4Yr,"Stanford University (Palo Alto, CA)"
2012,1,,FrRnd,1,Astros,Y,"$4,800,000 ",Carlos Correa (minors),SS,35.9,803,3030,140,0.278,0.835,,,,,,,HS,"Puerto Rico Baseball Academy (Gurabo, Puerto Rico)"
2011,1,,FrRnd,1,Pirates,Y,"$8,000,000 ",Gerrit Cole (minors),RHP,33.1,128,251,3,0.163,0.393,249,123,65,3.19,1.11,0,4Yr,"University of California, Los Angeles (Los Angeles, CA)"
2010,1,,FrRnd,1,Nationals,Y,"$6,250,000 ",Bryce Harper (minors),OF,42.7,1347,4799,282,0.281,0.919,,,,,,,JC,"College of Southern Nevada (Henderson, NV)"
