PlayerName,Year,First_Round_Pick_Num,Team,CareerLengthSeasons,G,PA,AB,R,H,2B,3B,HR,RBI,Pos,Team_Make_Playoffs_Year1
1,2000,1,16,6,30,131,126,16,40,9,1,3,10,1,1
2,2000,2,21,13,162,681,645,65,186,38,0,13,93,1,0
3,2000,3,28,10,152,623,575,80,167,28,4,10,69,3,0
4,2000,4,29,7,108,416,395,50,112,16,2,12,60,3,0
5,2000,5,18,6,153,613,570,77,170,46,1,21,112,4,0
6,2000,6,14,2,124,503,473,54,127,21,1,12,64,5,1
7,2000,7,23,3,84,325,305,26,81,16,0,4,32,6,0
8,2000,8,24,1,40,178,168,28,46,5,1,8,32,8,0
9,2000,9,28,6,151,608,574,54,153,27,1,18,74,9,0
10,2000,10,18,7,30,131,126,16,40,9,1,3,10,9,0
11,2000,11,23,5,162,681,645,65,186,38,0,13,93,4,0
12,2000,12,3,5,152,623,575,80,167,28,4,10,69,5,0
13,2000,13,16,13,108,416,395,50,112,16,2,12,60,4,0
14,2000,14,15,8,153,613,570,77,170,46,1,21,112,3,1
15,2000,15,28,8,124,503,473,54,127,21,1,12,64,2,1
16,2001,1,7,12,84,325,305,26,81,16,0,4,32,2,0
17,2001,2,7,7,40,178,168,28,46,5,1,8,32,3,0
18,2001,3,19,7,151,608,574,54,153,27,1,18,74,3,0
19,2001,4,11,5,103,361,334,30,87,16,0,11,38,4,0
20,2001,5,30,9,80,291,272,22,71,13,0,8,31,4,0
21,2001,6,4,13,23,70,62,8,16,3,0,3,7,4,0
22,2001,7,10,12,162,681,645,65,186,38,0,13,93,1,0
23,2001,8,13,7,152,623,575,80,167,28,4,10,69,3,0
24,2001,9,18,3,108,416,395,50,112,16,2,12,60,3,0
25,2001,10,11,8,153,613,570,77,170,46,1,21,112,4,0
26,2001,11,7,7,124,503,473,54,127,21,1,12,64,5,1
27,2001,12,17,3,84,325,305,26,81,16,0,4,32,6,0
28,2001,13,9,11,40,178,168,28,46,5,1,8,32,8,0
29,2001,14,5,6,151,608,574,54,153,27,1,18,74,9,1
30,2001,15,8,6,30,131,126,16,40,9,1,3,10,9,0
31,2002,1,20,3,162,681,645,65,186,38,0,13,93,4,0
32,2002,2,3,4,162,681,645,65,186,38,0,13,93,1,0
33,2002,3,25,10,152,623,575,80,167,28,4,10,69,3,0
34,2002,4,11,9,108,416,395,50,112,16,2,12,60,3,0
35,2002,5,7,4,153,613,570,77,170,46,1,21,112,4,0
36,2002,6,3,8,124,503,473,54,127,21,1,12,64,5,1
37,2002,7,24,7,84,325,305,26,81,16,0,4,32,6,0
38,2002,8,5,1,40,178,168,28,46,5,1,8,32,8,0
39,2002,9,7,11,151,608,574,54,153,27,1,18,74,9,0
40,2002,10,1,1,30,131,126,16,40,9,1,3,10,9,0
41,2002,11,21,4,162,681,645,65,186,38,0,13,93,4,0
42,2002,12,9,4,162,681,645,65,186,38,0,13,93,1,0
43,2002,13,25,5,152,623,575,80,167,28,4,10,69,3,0
44,2002,14,4,2,108,416,395,50,112,16,2,12,60,3,0
45,2002,15,8,11,153,613,570,77,170,46,1,21,112,4,0
46,2003,1,6,7,124,503,473,54,127,21,1,12,64,5,1
47,2003,2,5,1,84,325,305,26,81,16,0,4,32,6,0
48,2003,3,27,13,40,178,168,28,46,5,1,8,32,8,0
49,2003,4,1,2,151,608,574,54,153,27,1,18,74,9,0
50,2003,5,10,5,30,131,126,16,40,9,1,3,10,9,0
51,2003,6,23,12,162,681,645,65,186,38,0,13,93,4,0
52,2003,7,14,4,162,681,645,65,186,38,0,13,93,1,0
53,2003,8,13,8,152,623,575,80,167,28,4,10,69,3,0
54,2003,9,23,1,108,416,395,50,112,16,2,12,60,3,0
55,2003,10,16,8,153,613,570,77,170,46,1,21,112,4,0
56,2003,11,9,3,124,503,473,54,127,21,1,12,64,5,1
57,2003,12,9,2,84,325,305,26,81,16,0,4,32,6,0
58,2003,13,4,2,40,178,168,28,46,5,1,8,32,8,0
59,2003,14,7,10,151,608,574,54,153,27,1,18,74,9,0
60,2003,15,22,8,30,131,126,16,40,9,1,3,10,9,0
61,2004,1,18,2,162,681,645,65,186,38,0,13,93,4,0
62,2004,2,1,13,162,681,645,65,186,38,0,13,93,1,0
63,2004,3,10,10,152,623,575,80,167,28,4,10,69,3,0
64,2004,4,5,12,108,416,395,50,112,16,2,12,60,3,0
65,2004,5,24,12,153,613,570,77,170,46,1,21,112,4,0
66,2004,6,4,10,124,503,473,54,127,21,1,12,64,5,1
67,2004,7,0,13,84,325,305,26,81,16,0,4,32,6,0
68,2004,8,2,5,40,178,168,28,46,5,1,8,32,8,0
69,2004,9,12,2,151,608,574,54,153,27,1,18,74,9,0
70,2004,10,17,12,30,131,126,16,40,9,1,3,10,9,0
71,2004,11,1,1,162,681,645,65,186,38,0,13,93,4,0
72,2004,12,1,13,162,681,645,65,186,38,0,13,93,4,0
73,2004,13,1,5,162,681,645,65,186,38,0,13,93,1,0
74,2004,14,1,3,152,623,575,80,167,28,4,10,69,3,1
75,2004,15,1,11,152,623,575,80,167,28,4,10,69,3,1
