First_Round_Pick_Num,CareerLengthSeasons,Pos,Team_Make_Playoffs_Year1
1,6,1,1
2,13,1,0
3,10,3,0
4,7,3,0
5,6,4,0
6,2,5,1
7,3,6,0
8,1,8,0
9,6,9,0
10,7,9,0
11,5,4,0
12,5,5,0
13,13,4,0
14,8,3,1
15,8,2,1
1,12,2,0
2,7,3,0
3,7,3,0
4,5,4,0
5,9,4,0
6,13,4,0
7,12,1,0
8,7,3,0
9,3,3,0
10,8,4,0
11,7,5,1
12,3,6,0
13,11,8,0
14,6,9,1
15,6,9,0
1,3,4,0
2,4,1,0
3,10,3,0
4,9,3,0
5,4,4,0
6,8,5,1
7,7,6,0
8,1,8,0
9,11,9,0
10,1,9,0
11,4,4,0
12,4,1,0
13,5,3,0
14,2,3,0
15,11,4,0
1,7,5,1
2,1,6,0
3,13,8,0
4,2,9,0
5,5,9,0
6,12,4,0
7,4,1,0
8,8,3,0
9,1,3,0
10,8,4,0
11,3,5,1
12,2,6,0
13,2,8,0
14,10,9,0
15,8,9,0
1,2,4,0
2,13,1,0
3,10,3,0
4,12,3,0
5,12,4,0
6,10,5,1
7,13,6,0
8,5,8,0
9,2,9,0
10,12,9,0
11,1,4,0
12,13,4,0
13,5,1,0
14,3,3,1
15,11,3,1
