Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
2004,22,TEX,AL,16,44,42,7,10,3,0,1,7,0,0,2,6,0.238,0.273,0.381,0.654,63,16,0,0,0,0,0,3/HD,
2005,23,TEX,AL,43,162,150,17,34,7,1,6,17,0,0,10,37,0.227,0.272,0.407,0.678,73,61,3,0,0,2,2,D3/H9,
2006,24,SDP,NL,156,631,570,83,173,38,1,24,82,0,1,52,113,0.304,0.362,0.5,0.862,127,285,24,3,1,5,9,*3/H,
2007,25,SDP,NL,161,720,646,101,182,46,3,30,100,0,0,65,140,0.282,0.347,0.502,0.849,126,324,6,3,0,6,9,*3,MVP-20
2008,26,SDP,NL,162,700,616,103,172,32,1,36,119,0,0,74,142,0.279,0.361,0.51,0.871,140,314,24,7,0,3,18,*3/H,"AS,MVP-18,GG"
2009,27,SDP,NL,160,681,552,90,153,27,2,40,99,1,1,119,109,0.277,0.407,0.551,0.958,162,304,23,5,1,4,22,*3/HD,"AS,MVP-12,GG"
2010,28,SDP,NL,160,693,591,87,176,33,0,31,101,0,0,93,114,0.298,0.393,0.511,0.904,152,302,15,2,2,4,35,*3/D,"AS,MVP-4"
2011,29,BOS,AL,159,715,630,108,213,45,3,27,117,1,0,74,119,0.338,0.41,0.548,0.957,155,345,28,6,0,5,20,*3/D9,"AS,MVP-7,GG,SS"
2012,30,TOT,MLB,159,684,629,75,188,47,1,18,108,2,0,42,110,0.299,0.344,0.463,0.806,117,291,10,5,0,8,5,*39/DH,
2012,30,BOS,AL,123,527,484,63,145,37,0,15,86,0,0,31,81,0.3,0.343,0.469,0.812,117,227,9,5,0,7,4,*39/DH,
2012,30,LAD,NL,36,157,145,12,43,10,1,3,22,2,0,11,29,0.297,0.344,0.441,0.785,116,64,1,0,0,1,1,3,
2013,31,LAD,NL,157,641,583,69,171,32,0,22,100,1,0,47,98,0.293,0.342,0.461,0.803,125,269,12,1,0,10,6,*3/HD,MVP-18
2014,32,LAD,NL,159,660,591,83,163,41,0,27,116,1,1,56,112,0.276,0.335,0.482,0.817,131,285,13,2,0,11,9,*3/HD,"MVP-7,GG,SS"
2015,33,LAD,NL,156,643,571,76,157,33,0,28,90,0,1,62,107,0.275,0.35,0.48,0.83,130,274,21,6,0,3,10,*3/HD,"AS,MVP-19"
2016,34,LAD,NL,156,633,568,69,162,31,0,18,90,0,2,55,117,0.285,0.349,0.435,0.784,111,247,16,4,0,6,9,*3/HD,
2017,35,LAD,NL,71,252,231,14,56,17,0,3,30,0,1,16,43,0.242,0.287,0.355,0.642,70,82,7,0,0,4,1,3H,
2018,36,NYM,NL,54,187,169,15,40,5,0,6,26,0,0,15,34,0.237,0.299,0.373,0.672,88,63,5,1,0,2,3,3/H,
15 Yrs,,,,1929,8046,7139,997,2050,437,12,317,1202,6,7,782,1401,0.287,0.358,0.485,0.843,129,3462,207,45,4,73,158,,
162 Game Avg.,,,,162,676,600,84,172,37,1,27,101,1,1,66,118,0.287,0.358,0.485,0.843,129,291,17,4,0,6,13,,
LAD (6 yrs),,,,735,2986,2689,323,752,164,1,101,448,4,5,247,506,0.28,0.339,0.454,0.793,119,1221,70,13,0,35,36,,
SDP (5 yrs),,,,799,3425,2975,464,856,176,7,161,501,1,2,403,618,0.288,0.374,0.514,0.888,141,1529,92,20,4,22,93,,
TEX (2 yrs),,,,59,206,192,24,44,10,1,7,24,0,0,12,43,0.229,0.272,0.401,0.673,71,77,3,0,0,2,2,,
BOS (2 yrs),,,,282,1242,1114,171,358,82,3,42,203,1,0,105,200,0.321,0.382,0.513,0.895,139,572,37,11,0,12,24,,
NYM (1 yr),,,,54,187,169,15,40,5,0,6,26,0,0,15,34,0.237,0.299,0.373,0.672,88,63,5,1,0,2,3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NL (12 yrs),,,,1588,6598,5833,802,1648,345,8,268,975,5,7,665,1158,0.283,0.356,0.482,0.838,129,2813,167,34,4,59,132,,
AL (4 yrs),,,,341,1448,1306,195,402,92,4,49,227,1,0,117,243,0.308,0.366,0.497,0.863,129,649,40,11,0,14,26,,
