Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2004,22,TEX,AL,16,44,-2,0,0,0,-1,-3,-0.3,2,-1,-0.1,0.482,0.498,-0.2,-0.1,-1,,3/HD,
2005,23,TEX,AL,43,162,-7,0,0,-1,-4,-11,-1.2,6,-5,-0.6,0.473,0.493,-0.5,-0.4,-4,"$316,000 ",D3/H9,
2006,24,SDP,NL,156,631,22,-2,-2,3,-8,13,1.1,20,32,3,0.508,0.508,2.7,-0.6,29,"$327,500 ",*3/H,
2007,25,SDP,NL,161,720,22,-1,1,-8,-9,6,0.5,22,28,2.5,0.504,0.504,3.4,-1.8,36,"$500,000 ",*3,MVP-20
2008,26,SDP,NL,162,700,30,-3,-1,0,-9,17,1.5,22,39,3.5,0.51,0.51,3.6,-1,39,"$875,000 ",*3/H,"AS,MVP-18,GG"
2009,27,SDP,NL,160,681,48,-4,-2,15,-9,48,4.9,21,70,6.9,0.531,0.531,5.4,0.6,55,"$3,125,000 ",*3/HD,"AS,MVP-12,GG"
2010,28,SDP,NL,160,693,39,-2,-1,-3,-9,23,2.3,21,45,4.4,0.515,0.515,4.7,-1.3,48,"$4,875,000 ",*3/D,"AS,MVP-4"
2011,29,BOS,AL,159,715,45,-2,-3,12,-9,43,4.5,25,68,6.9,0.528,0.528,5.7,0.4,56,"$6,300,000 ",*3/D9,"AS,MVP-7,GG,SS"
2012,30,BOS,AL,123,527,10,-3,-1,11,-7,10,1.1,20,30,3,0.509,0.507,1.9,0.4,19,,*39/DH,
2012,30,LAD,NL,36,157,2,-1,0,3,-2,2,0.3,5,7,0.7,0.507,0.502,0.4,0.1,4,"$21,000,000 ",3,
2013,31,LAD,NL,157,641,18,-3,0,9,-8,17,1.7,21,37,3.8,0.512,0.511,2.8,0,28,"$21,000,000 ",*3/HD,MVP-18
2014,32,LAD,NL,159,660,20,-5,0,15,-8,22,2.2,21,43,4.4,0.516,0.515,2.8,0.7,28,"$21,000,000 ",*3/HD,"MVP-7,GG,SS"
2015,33,LAD,NL,156,643,23,-2,-2,14,-8,24,2.5,21,45,4.6,0.517,0.516,3,0.6,31,"$21,857,000 ",*3/HD,"AS,MVP-19"
2016,34,LAD,NL,156,633,8,-2,-1,3,-8,0,-0.1,21,21,1.9,0.5,0.5,1.6,-0.6,18,"$21,857,000 ",*3/HD,
2017,35,LAD,NL,71,252,-11,-2,0,-1,-3,-17,-1.8,8,-9,-1,0.475,0.489,-0.9,-0.4,-8,"$22,357,000 ",3H,
2018,36,NYM,NL,54,187,-4,-1,-1,1,-2,-8,-0.9,6,-2,-0.3,0.485,0.495,-0.4,-0.2,-3,"$545,000 ",3/H,
15 Seasons,,,,1929,8046,263,-34,-12,73,-104,186,18.2,261,447,43.5,0.51,0.511,36.1,-3.6,374,"$145,934,500 ",,
162 Game Avg.,,,,162,676,22,-3,-1,6,-9,16,1.5,22,38,3.7,0.51,0.511,3,-0.3,31,,,
,,,,,,,,,,,,,,,,,,,,,,,
LAD (6 yrs),,,,735,2986,60,-15,-2,43,-38,48,4.9,97,145,14.3,0.507,0.508,9.6,0.4,102,"$129,071,000 ",,
SDP (5 yrs),,,,799,3425,161,-12,-6,7,-44,107,10.2,106,213,20.4,0.514,0.513,19.8,-4,206,"$9,702,500 ",,
TEX (2 yrs),,,,59,206,-9,0,0,-1,-4,-14,-1.5,8,-7,-0.7,0.475,0.494,-0.6,-0.5,-6,"$316,000 ",,
BOS (2 yrs),,,,282,1242,56,-5,-4,23,-16,53,5.6,45,98,9.9,0.52,0.518,7.7,0.7,75,"$6,300,000 ",,
NYM (1 yr),,,,54,187,-4,-1,-1,1,-2,-8,-0.9,6,-2,-0.3,0.485,0.495,-0.4,-0.2,-3,"$545,000 ",,
