Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
2005,23,STL,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1H,
2006,24,STL,NL,58,6,6,2,3,1,0,1,1,0,0,0,0,0.5,0.5,1.167,1.667,311,7,0,0,0,0,0,1,
2007,25,STL,NL,36,74,62,4,18,3,0,1,6,0,1,3,18,0.29,0.323,0.387,0.71,84,24,1,0,9,0,0,1/H,
2008,26,STL,NL,25,65,60,5,16,2,0,1,6,0,1,2,20,0.267,0.286,0.35,0.636,68,21,0,0,2,1,0,1/H,
2009,27,STL,NL,39,96,89,7,16,5,1,2,4,0,0,1,26,0.18,0.189,0.326,0.515,34,29,0,0,6,0,0,1/H,"CYA-3,MVP-15,GG"
2010,28,STL,NL,36,96,84,4,14,5,0,0,6,0,0,7,23,0.167,0.231,0.226,0.457,26,19,2,0,5,0,0,1/H,"AS,CYA-2,MVP-17"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,30,STL,NL,32,72,66,5,8,2,0,1,4,0,0,3,32,0.121,0.159,0.197,0.356,-3,13,1,0,3,0,0,1/H,
2013,31,STL,NL,32,81,71,4,15,4,0,0,6,0,0,0,23,0.211,0.208,0.268,0.476,31,19,2,0,9,1,0,1/H,"AS,CYA-2,MVP-20,GG"
2014,32,STL,NL,30,82,72,4,13,3,0,0,6,0,0,3,22,0.181,0.213,0.222,0.436,23,16,0,0,7,0,0,1,"AS,CYA-3,MVP-8"
2015,33,STL,NL,7,10,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0,/1,
2016,34,STL,NL,32,69,62,6,13,7,1,2,18,0,0,2,17,0.21,0.234,0.452,0.686,79,28,1,0,5,0,0,1/H,
2017,35,STL,NL,24,50,42,7,11,2,0,2,11,0,0,1,15,0.262,0.279,0.452,0.731,89,19,2,0,7,0,0,1/H,SS
2018,36,STL,NL,8,12,11,0,1,0,0,0,1,0,0,0,6,0.091,0.091,0.091,0.182,-50,1,0,0,1,0,0,/1,
2019,37,STL,NL,29,59,50,6,8,3,0,0,2,0,0,2,20,0.16,0.189,0.22,0.409,8,11,0,0,6,1,0,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,39,STL,NL,33,74,57,1,7,2,0,0,4,0,0,3,25,0.123,0.167,0.158,0.325,-9,9,2,0,14,0,0,1/H,"CYA-7,MVP-20"
17 Yrs,,,,424,846,742,55,143,39,2,10,75,0,2,27,249,0.193,0.22,0.291,0.511,37,216,11,0,74,3,0,,
162 Game Avg.,,,,162,323,284,21,55,15,1,4,29,0,1,10,95,0.193,0.22,0.291,0.511,37,83,4,0,28,1,0,,
