Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
2012,19,WSN,NL,139,597,533,98,144,26,9,22,59,18,6,56,120,0.27,0.34,0.477,0.817,118,254,8,2,3,3,0,*89/7H,"AS,MVP-30,RoY-1"
2013,20,WSN,NL,118,497,424,71,116,24,3,20,58,11,4,61,94,0.274,0.368,0.486,0.854,133,206,4,5,3,4,4,*79/8H,AS
2014,21,WSN,NL,100,395,352,41,96,10,2,13,32,2,2,38,104,0.273,0.344,0.423,0.768,111,149,6,1,3,1,4,79/8H,
2015,22,WSN,NL,153,654,521,118,172,38,1,42,99,6,4,124,131,0.33,0.46,0.649,1.109,198,338,15,5,0,4,15,*98/D,"AS,MVP-1,SS"
2016,23,WSN,NL,147,627,506,84,123,24,2,24,86,21,10,108,117,0.243,0.373,0.441,0.814,114,223,11,3,0,10,20,*9/H,AS
2017,24,WSN,NL,111,492,420,95,134,27,1,29,87,4,2,68,99,0.319,0.413,0.595,1.008,156,250,15,1,0,3,11,*9/H,"AS,MVP-12"
2018,25,WSN,NL,159,695,550,103,137,34,0,34,100,13,3,130,169,0.249,0.393,0.496,0.889,133,273,7,6,0,9,16,*98/H3D,AS
2019,26,PHI,NL,157,682,573,98,149,36,1,35,114,15,3,99,178,0.26,0.372,0.51,0.882,126,292,10,6,0,4,11,*9/HD,
2020,27,PHI,NL,58,244,190,41,51,9,2,13,33,8,2,49,43,0.268,0.42,0.542,0.962,158,103,5,2,1,2,8,*9D/8,
2021,28,PHI,NL,141,599,488,101,151,42,1,35,84,13,3,100,134,0.309,0.429,0.615,1.044,180,300,12,5,2,4,14,*9/D3,"MVP-1,SS"
2022,29,PHI,NL,64,275,242,49,77,21,1,15,48,9,2,26,52,0.318,0.385,0.599,0.985,175,145,9,3,0,4,4,*D/9H,
11 Yrs,,,,1347,5757,4799,899,1350,291,23,282,800,120,41,859,1241,0.281,0.391,0.528,0.919,144,2533,102,39,12,48,107,,
162 Game Avg.,,,,162,692,577,108,162,35,3,34,96,14,5,103,149,0.281,0.391,0.528,0.919,144,305,12,5,1,6,13,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSN (7 yrs),,,,927,3957,3306,610,922,183,18,184,521,75,31,585,834,0.279,0.388,0.512,0.9,139,1693,66,23,9,34,70,,
PHI (4 yrs),,,,420,1800,1493,289,428,108,5,98,279,45,10,274,407,0.287,0.4,0.563,0.962,155,840,36,16,3,14,37,,
