Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
2015,20,HOU,AL,99,432,387,52,108,22,1,22,68,14,4,40,78,0.279,0.345,0.512,0.857,135,198,10,1,0,4,2,6,"MVP-24,RoY-1"
2016,21,HOU,AL,153,660,577,76,158,36,3,20,96,13,3,75,139,0.274,0.361,0.451,0.811,124,260,12,5,0,3,5,*6/H,
2017,22,HOU,AL,109,481,422,82,133,25,1,24,84,2,1,53,92,0.315,0.391,0.55,0.941,155,232,12,2,0,4,5,6/D,"AS,MVP-17"
2018,23,HOU,AL,110,468,402,60,96,20,1,15,65,3,0,53,111,0.239,0.323,0.405,0.728,99,163,17,2,0,11,3,*6/D,
2019,24,HOU,AL,75,321,280,42,78,16,1,21,59,1,0,35,75,0.279,0.358,0.568,0.926,137,159,8,2,0,4,0,6,
2020,25,HOU,AL,58,221,201,22,53,9,0,5,25,0,0,16,49,0.264,0.326,0.383,0.709,93,77,4,3,0,1,2,*6/H,
2021,26,HOU,AL,148,640,555,104,155,34,1,26,92,0,0,75,116,0.279,0.366,0.485,0.85,132,269,16,4,0,6,2,*6,"AS,MVP-5,GG"
2022,27,MIN,AL,52,229,210,30,63,12,0,8,26,0,0,17,54,0.3,0.354,0.471,0.825,138,99,8,1,0,1,0,*6/DH,
8 Yrs,,,,804,3452,3034,468,844,174,8,141,515,33,8,364,714,0.278,0.356,0.48,0.836,128,1457,87,20,0,34,19,,
162 Game Avg.,,,,162,696,611,94,170,35,2,28,104,7,2,73,144,0.278,0.356,0.48,0.836,128,294,18,4,0,7,4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOU (7 yrs),,,,752,3223,2824,438,781,162,8,133,489,33,8,347,660,0.277,0.356,0.481,0.837,127,1358,79,19,0,33,19,,
MIN (1 yr),,,,52,229,210,30,63,12,0,8,26,0,0,17,54,0.3,0.354,0.471,0.825,138,99,8,1,0,1,0,,
