Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2015,20,HOU,AL,99,432,17,3,1,4,5,30,3.3,15,45,4.8,0.532,0.519,4.3,1.1,41,,6,"MVP-24,RoY-1"
2016,21,HOU,AL,153,660,28,2,0,6,8,45,4.7,23,69,7,0.53,0.528,6.4,1.6,62,"$516,700 ",*6/H,
2017,22,HOU,AL,109,481,36,0,-1,10,6,51,5.1,17,68,6.7,0.546,0.531,5.7,1.6,58,"$535,000 ",6/D,"AS,MVP-17"
2018,23,HOU,AL,110,468,-3,0,-2,11,6,12,1.5,17,29,3.1,0.511,0.508,1.8,1.9,18,"$1,000,000 ",*6/D,
2019,24,HOU,AL,75,321,14,0,-1,9,4,26,2.6,11,37,3.7,0.533,0.515,2.7,1.4,28,"$5,000,000 ",6,
2020,25,HOU,AL,58,221,-1,0,0,7,3,9,0.9,8,17,1.7,0.516,0.506,1,1,10,"$8,000,000 ",*6/H,
2021,26,HOU,AL,148,640,25,-2,-1,20,8,50,5.2,21,71,7.2,0.534,0.531,5.2,2.9,51,"$11,700,000 ",*6,"AS,MVP-5,GG"
2022,27,MIN,AL,52,229,9,-1,-1,2,3,13,1.3,8,20,2,0.526,0.508,1.9,0.5,18,"$35,100,000 ",*6/DH,
8 Seasons,,,,804,3452,127,2,-5,69,43,236,24.5,120,356,36.1,0.53,0.521,28.9,12,287,"$61,851,700 ",,
162 Game Avg.,,,,162,696,26,0,-1,14,9,48,4.9,24,72,7.3,0.53,0.521,5.8,2.4,58,,,
,,,,,,,,,,,,,,,,,,,,,,,
HOU (7 yrs),,,,752,3223,118,2,-4,67,40,223,23.2,112,336,34.1,0.53,0.522,27,11.5,268,"$26,751,700 ",,
MIN (1 yr),,,,52,229,9,-1,-1,2,3,13,1.3,8,20,2,0.526,0.508,1.9,0.5,18,"$35,100,000 ",,
