Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
2006,20,TBD,AL,30,131,126,16,40,9,1,3,10,2,2,1,24,0.317,0.336,0.476,0.812,108,60,0,3,0,1,0,8-Sep,
2007,21,TBD,AL,162,681,645,65,186,38,0,13,93,10,3,26,127,0.288,0.316,0.408,0.723,91,263,23,3,0,7,2,*98/D,RoY-2
2008,22,MIN,AL,152,623,575,80,167,28,4,10,69,14,5,35,105,0.29,0.336,0.405,0.741,100,233,19,7,1,5,7,*7/H,
2009,23,MIN,AL,108,416,395,50,112,16,2,12,60,2,5,12,92,0.284,0.308,0.425,0.733,92,168,17,4,0,5,1,7/DH,
2010,24,MIN,AL,153,613,570,77,170,46,1,21,112,5,4,28,81,0.298,0.333,0.493,0.826,124,281,16,6,0,9,5,*7/HD,MVP-10
2011,25,TOT,AL,124,503,473,54,127,21,1,12,64,1,0,23,85,0.268,0.302,0.393,0.695,90,186,19,2,0,5,2,*7/DH,
2011,25,MIN,AL,84,325,305,26,81,16,0,4,32,1,0,18,55,0.266,0.305,0.357,0.662,82,109,12,0,0,2,2,7/DH,
2011,25,DET,AL,40,178,168,28,46,5,1,8,32,0,0,5,30,0.274,0.298,0.458,0.756,103,77,7,2,0,3,0,7,
2012,26,DET,AL,151,608,574,54,153,27,1,18,74,0,2,20,112,0.267,0.296,0.411,0.707,88,236,20,7,0,7,1,*D7/H,
2013,27,TOT,MLB,103,361,334,30,87,16,0,11,38,0,0,20,78,0.26,0.307,0.407,0.715,97,136,8,4,0,3,0,9DH,
2013,27,PHI,NL,80,291,272,22,71,13,0,8,31,0,0,14,69,0.261,0.302,0.397,0.699,93,108,7,3,0,2,0,9/DH,
2013,27,TBR,AL,23,70,62,8,16,3,0,3,7,0,0,6,9,0.258,0.329,0.452,0.78,117,28,1,1,0,1,0,D/H9,
2014,28,BAL,AL,83,255,242,27,73,11,1,7,30,2,0,10,51,0.302,0.337,0.442,0.779,117,107,6,3,0,0,0,D7H/9,
2015,29,BAL,AL,52,180,174,20,47,6,0,2,16,0,0,4,29,0.27,0.289,0.339,0.628,71,59,8,1,0,1,0,9H/D7,
10 Yrs,,,,1118,4371,4108,473,1162,218,11,109,566,36,21,179,784,0.283,0.316,0.421,0.737,98,1729,136,40,1,43,18,,
162 Game Avg.,,,,162,633,595,69,168,32,2,16,82,5,3,26,114,0.283,0.316,0.421,0.737,98,251,20,6,0,6,3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIN (4 yrs),,,,497,1977,1845,233,530,106,7,47,273,22,14,93,333,0.287,0.324,0.429,0.753,103,791,64,17,1,21,15,,
TBR (3 yrs),,,,215,882,833,89,242,50,1,19,110,12,5,33,160,0.291,0.32,0.421,0.741,96,351,24,7,0,9,2,,
BAL (2 yrs),,,,135,435,416,47,120,17,1,9,46,2,0,14,80,0.288,0.317,0.399,0.716,98,166,14,4,0,1,0,,
DET (2 yrs),,,,191,786,742,82,199,32,2,26,106,0,2,25,142,0.268,0.296,0.422,0.718,91,313,27,9,0,10,1,,
PHI (1 yr),,,,80,291,272,22,71,13,0,8,31,0,0,14,69,0.261,0.302,0.397,0.699,93,108,7,3,0,2,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL (10 yrs),,,,1038,4080,3836,451,1091,205,11,101,535,36,21,165,715,0.284,0.317,0.423,0.74,98,1621,129,37,1,41,18,,
NL (1 yr),,,,80,291,272,22,71,13,0,8,31,0,0,14,69,0.261,0.302,0.397,0.699,93,108,7,3,0,2,0,,
