Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2006,20,TBD,AL,30,131,2,0,0,3,-1,5,0.5,5,9,0.9,0.515,0.503,0.6,0.2,6,,8-Sep,
2007,21,TBD,AL,162,681,-9,1,-2,-1,-5,-16,-1.5,26,10,0.9,0.49,0.49,1,-0.5,10,"$1,340,000 ",*98/D,RoY-2
2008,22,MIN,AL,152,623,0,1,-2,-14,-6,-21,-2,23,2,0.3,0.486,0.487,1.6,-1.8,16,"$1,440,000 ",*7/H,
2009,23,MIN,AL,108,416,-6,-1,-2,-8,-5,-21,-2.1,16,-6,-0.6,0.48,0.487,0.2,-1.2,2,"$1,152,000 ",7/DH,
2010,24,MIN,AL,153,613,17,-3,0,-13,-6,-5,-0.4,23,18,1.9,0.497,0.497,3.2,-1.9,31,"$2,600,000 ",*7/HD,MVP-10
2011,25,MIN,AL,84,325,-9,-1,-2,-1,-4,-16,-1.7,12,-4,-0.5,0.48,0.489,-0.4,-0.5,-3,"$5,375,000 ",7/DH,
2011,25,DET,AL,40,178,2,2,-1,-4,-2,-3,-0.3,6,4,0.3,0.493,0.498,0.8,-0.6,8,,7,
2012,26,DET,AL,151,608,-9,-2,-2,-3,-12,-29,-3.1,23,-6,-0.9,0.48,0.481,-0.4,-1.6,-3,"$6,750,000 ",*D7/H,
2013,27,PHI,NL,80,291,-2,-1,-1,-7,-3,-15,-1.7,9,-5,-0.8,0.48,0.49,0,-1.2,2,"$750,000 ",9/DH,
2013,27,TBR,AL,23,70,2,0,0,0,-2,0,0,3,3,0.3,0.5,0.5,0.3,-0.2,3,,D/H9,
2014,28,BAL,AL,83,255,6,1,0,-1,-5,1,0.2,9,10,1,0.501,0.5,1.1,-0.6,11,,D7H/9,
2015,29,BAL,AL,52,180,-6,1,-1,5,-2,-3,-0.2,6,4,0.4,0.494,0.498,-0.2,0.4,-1,"$2,250,000 ",9H/D7,
10 Seasons,,,,1118,4371,-12,-5,-11,-44,-52,-123,-12.3,161,38,3.2,0.489,0.491,7.9,-9.5,82,"$21,657,000 ",,
162 Game Avg.,,,,162,633,-2,-1,-2,-6,-8,-18,-1.8,23,6,0.5,0.489,0.491,1.1,-1.4,12,,,
,,,,,,,,,,,,,,,,,,,,,,,
MIN (4 yrs),,,,497,1977,2,-5,-5,-36,-20,-64,-6.1,74,11,1,0.487,0.49,4.7,-5.4,47,"$10,567,000 ",,
TBR (3 yrs),,,,215,882,-5,0,-1,2,-8,-12,-1,33,21,2.1,0.495,0.493,1.9,-0.5,19,"$1,340,000 ",,
BAL (2 yrs),,,,135,435,0,1,-1,4,-7,-2,-0.1,16,13,1.4,0.498,0.5,1,-0.2,9,"$2,250,000 ",,
DET (2 yrs),,,,191,786,-8,-1,-3,-7,-14,-32,-3.4,29,-3,-0.6,0.482,0.485,0.3,-2.2,5,"$6,750,000 ",,
PHI (1 yr),,,,80,291,-2,-1,-1,-7,-3,-15,-1.7,9,-5,-0.8,0.48,0.49,0,-1.2,2,"$750,000 ",,
