Year,Age,Tm,Lg,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,RA9extras,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Awards
2013,22,PIT,NL,117.1,19,19,43,3.3,3.97,0.24,0.15,,93.4,3.63,4,0.5,,-0.1,1.4,14,0.524,0.503,,
2014,23,PIT,NL,138,22,22,58,3.78,3.9,0.17,0.14,,97.3,3.77,1,0.1,,-0.1,1.2,11,0.503,0.5,"$512,500 ",
2015,24,PIT,NL,208,32,32,71,3.07,4.14,0.15,0.16,,98.1,4.08,23,2.7,,-0.2,4.3,41,0.583,0.516,"$531,000 ","AS,CYA-4,MVP-19"
2016,25,PIT,NL,116,21,21,57,4.42,4.53,-0.03,0.18,,99,4.68,5,0.5,,-0.1,1.5,14,0.525,0.503,"$541,000 ",
2017,26,PIT,NL,203,33,33,98,4.34,4.66,0.08,0.2,,98.9,4.72,9,1,,-0.1,2.6,27,0.53,0.506,"$3,750,000 ",
2018,27,HOU,AL,200.1,32,32,68,3.05,4.57,0.31,0.2,,99.1,4.43,31,3.4,,-0.1,5.2,51,0.605,0.521,"$6,750,000 ","AS,CYA-5"
2019,28,HOU,AL,212.1,33,33,66,2.8,4.86,0.46,0.23,,101.5,4.69,45,4.7,,-0.1,6.6,68,0.644,0.529,"$13,500,000 ","AS,CYA-2,MVP-10"
2020,29,NYY,AL,73,12,12,27,3.33,5.13,0.02,0.26,0,96.7,5.2,15,1.6,,-0.1,2.2,22,0.631,0.51,"$36,000,000 ",CYA-4
2021,30,NYY,AL,181.1,30,30,69,3.42,4.95,-0.17,0.24,0,99.7,5.34,38,4.1,,-0.1,5.7,56,0.637,0.525,"$36,000,000 ","AS,CYA-2,MVP-15"
2022,31,NYY,AL,87.1,15,15,29,2.99,4.64,0.53,0.22,0,96.7,4.19,10,1.1,,-0.1,1.9,19,0.577,0.507,"$36,000,000 ",
10 Seasons,,,,1536.2,249,249,586,3.43,4.53,0.18,0.2,0,98.5,4.49,180,19.6,,-1.2,32.6,323,0.579,0.514,"$133,584,500 ",
162 Game Avg.,,,,210,34,34,80,3.43,4.53,0.18,0.2,0,98.5,4.49,25,2.7,,-0.2,4.5,44,0.579,0.514,,
,,,,,,,,,,,,,,,,,,,,,,,,
PIT (5 yrs),,,,782.1,127,127,327,3.76,4.27,0.12,0.17,,97.6,4.21,42,4.7,,-0.6,11,106,0.537,0.507,"$5,334,500 ",
NYY (3 yrs),,,,341.2,57,57,125,3.29,4.91,0.05,0.24,0,98.3,5.02,62,6.8,,-0.3,9.8,98,0.62,0.517,"$108,000,000 ",
HOU (2 yrs),,,,412.2,65,65,134,2.92,4.72,0.39,0.22,,100.3,4.57,75,8.1,,-0.3,11.8,119,0.625,0.525,"$20,250,000 ",
