Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
2007,19,ARI,NL,43,152,140,17,31,8,3,2,11,2,0,11,37,0.221,0.283,0.364,0.647,62,51,3,1,0,0,4,9/H,
2008,20,ARI,NL,108,417,356,52,89,19,6,15,42,1,4,54,121,0.25,0.353,0.463,0.816,107,165,3,4,0,3,6,9/H,
2009,21,ARI,NL,138,588,526,84,158,30,7,26,86,20,5,55,137,0.3,0.366,0.532,0.899,129,280,10,2,1,4,3,*9/HD,"AS,MVP-25"
2010,22,ARI,NL,133,571,495,73,135,27,3,17,69,18,8,64,152,0.273,0.356,0.442,0.799,110,219,20,4,1,7,5,*9/HD,
2011,23,ARI,NL,159,674,592,105,171,39,5,31,88,21,9,59,126,0.289,0.369,0.529,0.898,141,313,8,19,0,4,9,*9/H,"AS,MVP-4,SS"
2012,24,ARI,NL,150,628,554,107,155,24,4,17,67,18,8,63,121,0.28,0.355,0.43,0.785,110,238,7,5,0,6,5,*9/H,
2013,25,ATL,NL,149,643,558,94,147,27,2,27,70,8,1,75,161,0.263,0.354,0.464,0.818,124,259,12,5,1,4,4,*79/HD,
2014,26,ATL,NL,154,641,566,77,153,34,2,29,102,8,4,60,171,0.27,0.342,0.491,0.833,133,278,10,6,0,8,1,*7/HD,"MVP-17,SS"
2015,27,SDP,NL,150,620,542,85,136,26,3,26,81,19,5,68,159,0.251,0.336,0.454,0.79,119,246,10,4,0,5,5,*7/HD,AS
2016,28,DET,AL,153,626,570,81,140,28,2,31,87,9,4,50,179,0.246,0.31,0.465,0.775,106,265,15,4,0,2,3,*7/8HD,
2017,29,TOT,AL,152,635,557,100,152,44,0,35,109,14,5,74,180,0.273,0.361,0.54,0.901,137,301,9,3,0,1,3,*7/H,"AS,MVP-16,SS"
2017,29,DET,AL,125,520,459,81,128,37,0,28,94,10,5,57,147,0.279,0.362,0.542,0.904,137,249,6,3,0,1,2,*7/H,
2017,29,LAA,AL,27,115,98,19,24,7,0,7,15,4,0,17,33,0.245,0.357,0.531,0.887,136,52,3,0,0,0,1,7,
2018,30,LAA,AL,145,613,533,80,137,18,1,30,85,8,2,64,176,0.257,0.344,0.463,0.808,121,247,12,10,0,6,1,*7/DH,
2019,31,LAA,AL,63,256,219,34,47,8,0,12,40,1,1,32,78,0.215,0.309,0.416,0.724,90,91,5,0,0,5,0,7/DH,
2020,32,LAA,AL,42,166,147,20,30,5,0,9,22,0,2,11,43,0.204,0.289,0.422,0.711,92,62,6,7,0,1,0,7/D,
2021,33,LAA,AL,89,362,318,47,67,12,0,17,41,4,1,39,107,0.211,0.296,0.409,0.705,90,130,11,1,0,3,0,7/8DH,
2022,34,SEA,AL,10,37,31,0,4,1,0,0,2,0,0,4,15,0.129,0.27,0.161,0.432,31,5,1,2,0,0,0,/D97,
16 Yrs,,,,1838,7629,6704,1056,1752,350,38,324,1002,151,59,783,1963,0.261,0.343,0.47,0.813,117,3150,142,77,3,59,49,,
162 Game Avg.,,,,162,672,591,93,154,31,3,29,88,13,5,69,173,0.261,0.343,0.47,0.813,117,278,13,7,0,5,4,,
ARI (6 yrs),,,,731,3030,2663,438,739,147,28,108,363,80,34,306,694,0.278,0.357,0.475,0.832,118,1266,51,35,2,24,32,,
LAA (5 yrs),,,,366,1512,1315,200,305,50,1,75,203,17,6,163,437,0.232,0.322,0.443,0.764,106,582,37,18,0,15,2,,
ATL (2 yrs),,,,303,1284,1124,171,300,61,4,56,172,16,5,135,332,0.267,0.348,0.478,0.826,129,537,22,11,1,12,5,,
DET (2 yrs),,,,278,1146,1029,162,268,65,2,59,181,19,9,107,326,0.26,0.333,0.5,0.833,120,514,21,7,0,3,5,,
SDP (1 yr),,,,150,620,542,85,136,26,3,26,81,19,5,68,159,0.251,0.336,0.454,0.79,119,246,10,4,0,5,5,,
SEA (1 yr),,,,10,37,31,0,4,1,0,0,2,0,0,4,15,0.129,0.27,0.161,0.432,31,5,1,2,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
