Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2007,19,ARI,NL,43,152,-11,1,0,1,-1,-10,-1.1,5,-5,-0.6,0.476,0.494,-0.7,-0.1,-6,,9/H,
2008,20,ARI,NL,108,417,2,-2,1,0,-4,-3,-0.4,13,10,0.8,0.498,0.498,0.9,-0.4,10,"$393,000 ",9/H,
2009,21,ARI,NL,138,588,19,3,1,4,-5,22,2.2,18,41,4,0.517,0.514,3.6,-0.2,37,"$412,000 ",*9/HD,"AS,MVP-25"
2010,22,ARI,NL,133,571,5,0,-2,2,-5,0,-0.2,18,17,1.6,0.5,0.5,1.4,-0.4,15,"$708,333 ",*9/HD,
2011,23,ARI,NL,159,674,33,2,1,3,-6,32,3.4,21,53,5.5,0.522,0.521,5.1,-0.3,50,"$4,458,333 ",*9/H,"AS,MVP-4,SS"
2012,24,ARI,NL,150,628,7,0,2,1,-5,4,0.5,20,24,2.4,0.503,0.503,2.1,-0.5,23,"$6,750,000 ",*9/H,
2013,25,ATL,NL,149,643,19,3,0,-7,-7,8,0.8,20,29,2.8,0.506,0.506,3.6,-1.6,36,"$9,750,000 ",*79/HD,
2014,26,ATL,NL,154,641,22,-1,0,-4,-6,11,1,21,32,3.1,0.508,0.508,3.6,-1.2,36,"$14,250,000 ",*7/HD,"MVP-17,SS"
2015,27,SDP,NL,150,620,16,4,0,7,-5,22,2.2,20,42,4.2,0.516,0.514,3.4,0.1,35,"$14,500,000 ",*7/HD,AS
2016,28,DET,AL,153,626,4,-2,-1,-2,-6,-6,-0.5,22,16,1.7,0.496,0.496,1.9,-0.7,18,"$22,125,000 ",*7/8HD,
2017,29,DET,AL,125,520,25,0,1,12,-5,33,3.4,19,52,5.2,0.527,0.521,4,0.8,40,,*7/H,"AS,MVP-16,SS"
2017,29,LAA,AL,27,115,5,2,0,-5,-1,1,0.1,4,5,0.5,0.502,0.5,1,-0.6,10,"$22,125,000 ",7,"AS,MVP-16,SS"
2018,30,LAA,AL,145,613,18,1,0,-1,-6,13,1.6,22,35,3.7,0.509,0.508,3.6,-0.5,36,"$16,000,000 ",*7/DH,
2019,31,LAA,AL,63,256,-3,0,0,-13,-3,-20,-1.8,9,-11,-0.9,0.47,0.488,0.3,-1.4,2,"$18,000,000 ",7/DH,
2020,32,LAA,AL,42,166,-2,-1,-1,-4,-1,-10,-1,6,-4,-0.4,0.477,0.494,0,-0.6,0,"$21,000,000 ",7/D,
2021,33,LAA,AL,89,362,-5,0,-1,-11,-3,-20,-1.9,12,-7,-0.7,0.478,0.488,0.4,-1.4,4,"$23,000,000 ",7/8DH,
2022,34,SEA,AL,10,37,-3,0,0,0,-1,-4,-0.4,1,-2,-0.3,0.459,0.497,-0.3,-0.1,-2,,/D97,
16 Seasons,,,,1838,7629,150,10,-1,-17,-69,73,7.9,251,325,32.4,0.504,0.506,33.8,-8.9,342,"$173,471,666 ",,
162 Game Avg.,,,,162,672,13,1,0,-1,-6,6,0.7,22,29,2.9,0.504,0.506,3,-0.8,30,,,
ARI (6 yrs),,,,731,3030,55,3,2,11,-27,45,4.5,94,140,13.7,0.507,0.507,12.4,-1.8,129,"$12,721,666 ",,
LAA (5 yrs),,,,366,1512,12,2,-2,-34,-14,-36,-3.1,53,17,2.1,0.49,0.498,5.2,-4.4,51,"$100,125,000 ",,
ATL (2 yrs),,,,303,1284,40,3,0,-11,-12,19,1.8,41,60,5.9,0.507,0.507,7.2,-2.8,71,"$24,000,000 ",,
DET (2 yrs),,,,278,1146,29,-1,0,10,-10,27,2.9,41,68,6.9,0.51,0.507,5.8,0.1,58,"$22,125,000 ",,
SDP (1 yr),,,,150,620,16,4,0,7,-5,22,2.2,20,42,4.2,0.516,0.514,3.4,0.1,35,"$14,500,000 ",,
SEA (1 yr),,,,10,37,-3,0,0,0,-1,-4,-0.4,1,-2,-0.3,0.459,0.497,-0.3,-0.1,-2,,,
