Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
2007,23,KCR,AL,0,1,0,2.13,4,1,1,0,0,0,12.2,11,4,3,1,4,0,5,3,0,1,54,220,5.13,1.184,7.8,0.7,2.8,3.6,1.25,
2008,24,KCR,AL,6,12,0.333,5.51,22,22,0,0,0,0,129,143,84,79,12,47,1,72,5,0,7,566,78,4.43,1.473,10,0.8,3.3,5,1.53,
2009,25,KCR,AL,7,13,0.35,6.55,25,25,0,2,1,0,143,167,109,104,23,46,0,106,8,0,9,631,68,4.84,1.49,10.5,1.4,2.9,6.7,2.3,
2010,26,KCR,AL,6,6,0.5,4.81,18,17,0,1,0,0,103,110,61,55,9,37,1,76,4,1,2,450,87,3.93,1.427,9.6,0.8,3.2,6.6,2.05,
2011,27,KCR,AL,11,11,0.5,4.68,31,31,0,0,0,0,198,192,110,103,23,62,4,128,7,2,7,835,87,4.29,1.283,8.7,1,2.8,5.8,2.06,
2012,28,KCR,AL,8,16,0.333,5.73,32,32,0,2,1,0,185.1,202,127,118,27,61,3,144,13,0,8,800,73,4.63,1.419,9.8,1.3,3,7,2.36,
2013,29,KCR,AL,5,2,0.714,1.92,58,0,22,0,0,2,70.1,41,15,15,8,17,1,82,1,0,2,262,215,2.96,0.825,5.2,1,2.2,10.5,4.82,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,31,KCR,AL,1,1,0.5,3.73,49,0,16,0,0,1,50.2,49,23,21,7,16,0,49,1,0,3,214,113,4,1.283,8.7,1.2,2.8,8.7,3.06,
2016,32,KCR,AL,2,3,0.4,3.86,40,0,1,0,0,0,37.1,31,17,16,6,9,0,40,3,0,2,151,112,4.06,1.071,7.5,1.4,2.2,9.6,4.44,
9 Yrs,,,,46,65,0.414,4.98,279,128,40,5,2,3,929.1,946,550,514,116,299,10,702,45,3,41,3963,85,4.31,1.34,9.2,1.1,2.9,6.8,2.35,
162 Game Avg.,,,,8,11,0.414,4.98,47,21,7,1,0,1,155,158,92,86,19,50,2,117,8,1,7,662,85,4.31,1.34,9.2,1.1,2.9,6.8,2.35,
