Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
2007,25,CIN,NL,6,6,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,-100,0,0,0,0,0,0,/1,
2008,26,PIT,NL,19,26,21,0,1,0,0,0,1,0,0,0,7,0.048,0.048,0.048,0.095,-74,1,0,0,5,0,0,1,
2009,27,PIT,NL,15,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,29,MIN,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,
4 Yrs,,,,44,32,27,0,1,0,0,0,1,0,0,0,11,0.037,0.037,0.037,0.074,-80,1,0,0,5,0,0,,
162 Game Avg.,,,,162,118,99,0,4,0,0,0,4,0,0,0,40,0.037,0.037,0.037,0.074,-80,4,0,0,18,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIT (2 yrs),,,,34,26,21,0,1,0,0,0,1,0,0,0,7,0.048,0.048,0.048,0.095,-74,1,0,0,5,0,0,,
MIN (1 yr),,,,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,
CIN (1 yr),,,,6,6,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,-100,0,0,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NL (3 yrs),,,,40,32,27,0,1,0,0,0,1,0,0,0,11,0.037,0.037,0.037,0.074,-80,1,0,0,5,0,0,,
AL (1 yr),,,,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,
