Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2007,25,CIN,NL,6,6,-2,0,0,0,1,-1,-0.1,0,-1,-0.1,0.485,0.499,-0.1,0,-1,,/1,
2008,26,PIT,NL,19,26,-6,0,0,0,4,-3,-0.3,0,-3,-0.3,0.486,0.498,-0.3,0,-3,"$390,500 ",1,
2009,27,PIT,NL,15,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,"$401,500 ",1,
,,,,,,,,,,,,,,,,,,,,,,,
2011,29,MIN,AL,4,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,,1,
4 Seasons,,,,44,32,-8,0,0,0,5,-4,-0.4,0,-4,-0.4,0.492,0.499,-0.4,0,-4,"$792,000 ",,
162 Game Avg.,,,,162,118,-29,0,0,0,18,-15,-1.5,0,-15,-1.5,0.492,0.499,-1.5,0,-15,,,
,,,,,,,,,,,,,,,,,,,,,,,
PIT (2 yrs),,,,34,26,-6,0,0,0,4,-3,-0.3,0,-3,-0.3,0.492,0.499,-0.3,0,-3,"$792,000 ",,
MIN (1 yr),,,,4,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,,,
CIN (1 yr),,,,6,6,-2,0,0,0,1,-1,-0.1,0,-1,-0.1,0.485,0.499,-0.1,0,-1,,,
