Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
2010,21,WSN,NL,5,3,0.625,2.91,12,12,0,0,0,0,68,56,25,22,5,17,0,92,0,0,2,274,139,2.08,1.074,7.4,0.7,2.3,12.2,5.41,
2011,22,WSN,NL,1,1,0.5,1.5,5,5,0,0,0,0,24,15,5,4,0,2,0,24,0,0,0,88,259,1.28,0.708,5.6,0,0.8,9,12,
2012,23,WSN,NL,15,6,0.714,3.16,28,28,0,0,0,0,159.1,136,62,56,15,48,1,197,4,0,5,653,126,2.82,1.155,7.7,0.8,2.7,11.1,4.1,"AS,SS"
2013,24,WSN,NL,8,9,0.471,3,30,30,0,1,1,0,183,136,71,61,16,56,1,191,12,3,7,731,126,3.21,1.049,6.7,0.8,2.8,9.4,3.41,
2014,25,WSN,NL,14,11,0.56,3.14,34,34,0,0,0,0,215,198,86,75,23,43,4,242,5,0,7,868,119,2.94,1.121,8.3,1,1.8,10.1,5.63,CYA-9
2015,26,WSN,NL,11,7,0.611,3.46,23,23,0,0,0,0,127.1,115,56,49,14,26,0,155,3,0,4,523,114,2.81,1.107,8.1,1,1.8,11,5.96,
2016,27,WSN,NL,15,4,0.789,3.6,24,24,0,0,0,0,147.2,119,59,59,15,44,1,183,2,0,2,598,119,2.92,1.104,7.3,0.9,2.7,11.2,4.16,AS
2017,28,WSN,NL,15,4,0.789,2.52,28,28,0,1,1,0,175.1,131,55,49,13,47,5,204,7,0,3,701,178,2.72,1.015,6.7,0.7,2.4,10.5,4.34,"AS,CYA-3"
2018,29,WSN,NL,10,7,0.588,3.74,22,22,0,0,0,0,130,118,59,54,18,38,2,156,8,1,5,544,114,3.62,1.2,8.2,1.2,2.6,10.8,4.11,
2019,30,WSN,NL,18,6,0.75,3.32,33,33,0,0,0,0,209,161,79,77,24,56,4,251,10,0,8,841,135,3.25,1.038,6.9,1,2.4,10.8,4.48,"CYA-5,MVP-15"
2020,31,WSN,NL,0,1,0,10.8,2,2,0,0,0,0,5,8,6,6,1,1,0,2,0,0,0,23,44,5.59,1.8,14.4,1.8,1.8,3.6,2,
2021,32,WSN,NL,1,2,0.333,4.57,5,5,0,0,0,0,21.2,16,12,11,4,14,2,21,1,0,0,95,89,5.71,1.385,6.6,1.7,5.8,8.7,1.5,
2022,33,WSN,NL,0,1,0,13.5,1,1,0,0,0,0,4.2,8,7,7,1,2,0,5,1,0,1,23,32,5.7,2.143,15.4,1.9,3.9,9.6,2.5,
13 Yrs,,,,113,62,0.646,3.24,247,247,0,2,2,0,1470,1217,582,530,149,394,20,1723,53,4,44,5962,127,3.02,1.096,7.5,0.9,2.4,10.5,4.37,
162 Game Avg.,,,,16,9,0.646,3.24,34,34,0,0,0,0,202,168,80,73,21,54,3,237,7,1,6,821,127,3.02,1.096,7.5,0.9,2.4,10.5,4.37,
