Year,Age,Tm,Lg,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,RA9extras,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Awards
2010,21,WSN,NL,68,12,12,25,3.31,4.36,-0.01,0.16,,99.4,4.51,9,1,,0,1.5,15,0.584,0.506,"$2,000,000 ",
2011,22,WSN,NL,24,5,5,5,1.88,3.93,0.12,0.15,,100.9,3.99,6,0.7,,0,0.9,8,0.634,0.504,"$4,375,000 ",
2012,23,WSN,NL,159.1,28,28,62,3.5,4.18,-0.07,0.16,,101.6,4.48,16,1.8,,-0.1,3.1,30,0.565,0.511,"$3,000,000 ","AS,SS"
2013,24,WSN,NL,183,30,30,71,3.49,4,0.01,0.14,,99.9,4.13,13,1.5,,-0.1,2.9,28,0.549,0.509,"$3,900,000 ",
2014,25,WSN,NL,215,34,34,86,3.6,3.93,0.04,0.15,,102,4.11,13,1.6,,-0.1,3.3,29,0.546,0.51,"$3,975,000 ",CYA-9
2015,26,WSN,NL,127.1,23,23,56,3.96,4.11,-0.19,0.16,,102,4.55,8,0.9,,-0.1,2,19,0.54,0.506,"$7,400,000 ",
2016,27,WSN,NL,147.2,24,24,59,3.6,4.42,0.06,0.18,,103.1,4.68,20,2.2,,-0.1,3.4,31,0.591,0.513,"$10,400,000 ",AS
2017,28,WSN,NL,175.1,28,28,55,2.82,4.75,-0.04,0.2,,100.7,5.03,44,4.9,,-0.1,6.3,59,0.675,0.53,"$18,333,334 ","AS,CYA-3"
2018,29,WSN,NL,130,22,22,59,4.08,4.32,0.02,0.19,,106.2,4.77,12,1.3,,-0.1,2.3,21,0.559,0.508,"$18,333,333 ",
2019,30,WSN,NL,209,33,33,79,3.4,4.76,0.12,0.21,,99.6,4.83,36,3.9,,-0.1,5.6,53,0.619,0.524,"$38,333,333 ","CYA-5,MVP-15"
2020,31,WSN,NL,5,2,2,6,10.8,3.88,-1.04,0.13,0,99.6,5.03,-3,-0.3,,0,-0.2,-3,0.362,0.498,"$35,000,000 ",
2021,32,WSN,NL,21.2,5,5,12,4.98,4.53,0.1,0.21,0,91.2,4.24,-2,-0.2,,0,0,0,0.465,0.499,"$35,000,000 ",
2022,33,WSN,NL,4.2,1,1,7,13.5,4.29,-0.39,0.2,0,98,4.78,-5,-0.3,,0,-0.3,-4,0.186,0.498,"$35,000,000 ",
13 Seasons,,,,1470,247,247,582,3.56,4.31,0,0.17,0,101.4,4.54,167,19,,-1,30.9,285,0.577,0.513,"$215,050,000 ",
162 Game Avg.,,,,202,34,34,80,3.56,4.31,0,0.17,0,101.4,4.54,23,2.6,,-0.1,4.3,39,0.577,0.513,,
