year,league_id,team_id,franchise_id,div_id,rank,g,ghome,w,l,div_win,wc_win,lg_win,ws_win,r,ab,h,double,triple,hr,bb,so,sb,cs,hbp,sf,ra,er,era,cg,sho,sv,ipouts,ha,hra,bba,soa,e,dp,fp,name,park,attendance,bpf,ppf,team_id_br,team_id_lahman45,team_id_retro,make_playoffs_wild_card,make_playoffs_win_division,make_playoffs_win_league,make_playoffs_win_worldseries,make_playoffs
2000,AL,ANA,ANA,W,3,162,81.0,82,80,N,N,N,N,864,5628,1574,309,34,236,608,1024.0,93.0,52.0,47.0,43.0,869,805,5.0,5,3,46,4344,1534,228,662,846,134,182.0,0.978,Anaheim Angels,Edison International Field,2066982.0,102,103,ANA,ANA,ANA,False,False,False,False,False
2000,NL,ARI,ARI,W,3,162,81.0,85,77,N,N,N,N,792,5527,1466,282,44,179,535,975.0,97.0,44.0,59.0,58.0,754,698,4.35,16,8,38,4331,1441,190,500,1220,107,138.0,0.982,Arizona Diamondbacks,Bank One Ballpark,2942251.0,105,103,ARI,ARI,ARI,False,False,False,False,False
2000,NL,ATL,ATL,E,1,162,81.0,95,67,Y,N,N,N,810,5489,1490,274,26,179,595,1010.0,148.0,56.0,59.0,45.0,714,648,4.05,13,9,53,4321,1428,165,484,1093,129,138.0,0.979,Atlanta Braves,Turner Field,3234304.0,101,99,ATL,ATL,ATL,False,True,False,False,True
2000,AL,BAL,BAL,E,4,162,81.0,74,88,N,N,N,N,794,5549,1508,310,22,184,558,900.0,126.0,65.0,49.0,54.0,913,855,5.37,14,6,33,4300,1547,202,665,1017,116,151.0,0.981,Baltimore Orioles,Oriole Park at Camden Yards,3297031.0,95,96,BAL,BAL,BAL,False,False,False,False,False
2000,AL,BOS,BOS,E,2,162,81.0,85,77,N,N,N,N,792,5630,1503,316,32,167,611,1019.0,43.0,30.0,42.0,48.0,745,683,4.23,7,12,46,4358,1433,173,498,1121,109,120.0,0.982,Boston Red Sox,Fenway Park II,2585895.0,104,103,BOS,BOS,BOS,False,False,False,False,False
2000,AL,CHA,CHW,C,1,162,81.0,95,67,Y,N,N,N,978,5646,1615,325,33,216,591,960.0,119.0,42.0,53.0,61.0,839,751,4.66,5,7,43,4351,1509,195,614,1037,133,190.0,0.978,Chicago White Sox,Comiskey Park II,1947799.0,102,102,CHW,CHA,CHA,False,True,False,False,True
2000,NL,CHN,CHC,C,6,162,81.0,65,97,N,N,N,N,764,5577,1426,272,23,183,632,1120.0,93.0,37.0,54.0,45.0,904,849,5.25,10,5,39,4364,1505,231,658,1143,100,139.0,0.983,Chicago Cubs,Wrigley Field,2789511.0,97,98,CHC,CHN,CHN,False,False,False,False,False
2000,NL,CIN,CIN,C,2,163,82.0,85,77,N,N,N,N,825,5635,1545,302,36,200,559,995.0,100.0,38.0,64.0,58.0,765,700,4.33,8,7,42,4369,1446,190,659,1015,111,156.0,0.982,Cincinnati Reds,Cinergy Field,2577371.0,102,102,CIN,CIN,CIN,False,False,False,False,False
2000,AL,CLE,CLE,C,2,162,81.0,90,72,N,N,N,N,950,5683,1639,310,30,221,685,1057.0,113.0,34.0,51.0,52.0,816,775,4.84,6,5,34,4327,1511,173,666,1213,72,147.0,0.988,Cleveland Indians,Jacobs Field,3456278.0,101,100,CLE,CLE,CLE,False,False,False,False,False
2000,NL,COL,COL,W,4,162,81.0,82,80,N,N,N,N,968,5660,1664,320,53,161,601,907.0,131.0,61.0,42.0,75.0,897,835,5.26,7,2,33,4290,1568,221,588,1001,94,176.0,0.985,Colorado Rockies,Coors Field,3295129.0,125,125,COL,COL,COL,False,False,False,False,False
